# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,76393.0071575902,44297.7764510468,50412.6009597068,51860.7420237675,76393.0071575902,76393.0071575902,74005.983095441,76393.0071575902,49201.0343477443
2,5409.40745374206,4171.75485515053,4910.90033157957,4931.78024852527,5671.059,6429.868358,5666.27133618913,6973.198814,6070.60966977887
4,4711.37130763474,3743.1937080513,4464.79891792931,4684.20445694236,4605.554,5655.116882,5427.25324931797,6097.073489,5643.03445745414
6,4386.66647914674,3558.46158833833,4279.10933833885,4600.32623963789,4233.113,5293.095506,5247.36340067542,5616.603334,5323.95348787912
8,4163.79624294143,3472.43469205143,4025.58031506634,4549.82993079845,4037.985,5041.323663,5119.53843728548,5458.602316,5093.82920434855
10,3874.61162857545,3441.62054526885,3798.65889039004,4492.28202699336,3848.888,4828.416709,4983.6333129389,5362.046748,4994.50566977553
12,3661.25450443627,3426.34010605994,3558.24373606471,4461.25861971093,3631.4,4739.377245,4868.79345418943,5240.132036,4795.14389636779
14,3391.67479217877,3419.31986578166,3418.83153418767,4395.25883238182,3455.35,4661.687549,4815.50598120799,5167.605119,4718.1666536344
16,3215.4196577909,3416.05256017138,3279.97078362929,4365.33204263861,3341.66,4569.348863,4804.17248908335,5105.656522,4653.13650423139
18,3081.52094481736,3413.79111366848,3166.04984923024,4348.28280147072,3208.339,4507.593205,4788.40508492309,5052.084341,4575.17435894249
20,2961.10113638485,3412.11745311083,3078.2037337068,4311.38368960207,3103.238,4499.44541,4758.11989307168,4971.383088,4501.34638536497
22,2889.08915176046,3410.3137566506,3026.69244194579,4295.57945838703,3037.936,4451.993979,4703.98836182342,4950.880898,4407.17522619422
24,2862.05314950313,3408.82202198892,3009.99837486125,4256.56056933117,3000.241,4434.710143,4678.90802783263,4866.198308,4318.10280393103
26,2849.18322791411,3408.10225564269,3000.5314639656,4213.53590946491,2973.251,4412.471814,4662.44834446804,4830.020887,4243.94137510064
28,2840.38636352611,3407.59982168839,2996.23322977436,4204.0387301605,2947.77,4388.891496,4623.13552376508,4774.26681,4157.19209380589
30,2834.23147223197,3407.19685666075,2992.9572565088,4154.49234239375,2921.936,4369.350046,4586.48196546263,4745.983907,4134.31236352508
32,2830.48368688698,3406.53777337909,2988.51556265162,4122.27010625762,2914.346,4362.610681,4554.6356438342,4696.413899,4043.07783424829
34,2826.64305151233,3406.29256178418,2986.71409509282,4087.53717825624,2903.264,4341.445686,4514.43048425495,4679.992565,3936.45956227138
36,2823.54904357858,3406.18708464805,2985.39716693775,4075.06752107196,2893.498,4306.512294,4509.84109920939,4669.051449,3863.67807873604
38,2820.76059552145,3406.06655228242,2984.41406129744,4059.13618141528,2889.567,4292.967827,4496.31219880571,4654.369324,3781.04018446078
40,2819.08421099502,3405.91761632758,2983.76734611189,4043.98414123289,2886.379,4279.579741,4493.4106445026,4622.122567,3705.06266426744
42,2817.15532565748,3405.68166851208,2983.20538802213,4025.60901130153,2883.717,4273.146337,4493.4106445026,4618.433176,3650.43047363065
44,2815.78342266025,3405.49608790668,2982.82956498716,4025.55142965155,2881.11,4268.842616,4475.60577644483,4605.941123,3594.33176784524
46,2814.68910235435,3405.28943715965,2982.43279297955,4019.48102982475,2879.576,4248.631845,4454.95455977285,4572.833746,3558.44853477584
48,2813.75725563542,3404.82611664815,2982.2389867017,4000.59038766831,2878.419,4242.913771,4446.20581104608,4541.326549,3496.72996474235
50,2812.92028093619,3404.73085239151,2982.03782166932,4000.59038766831,2877.304,4240.949648,4446.20581104608,4539.246344,3439.71127632773
52,2812.03312966729,3404.68778623148,2981.9147661172,4000.59038766831,2876.385,4240.011099,4436.46704519832,4518.88625,3413.37856200543
54,2811.26456179887,3404.63402600766,2981.83917709009,4000.59038766831,2875.501,4240.011099,4413.95897766604,4514.52724,3356.36961688311
56,2810.59621092855,3404.6140848504,2981.77202435325,3987.4180622624,2875.026,4237.902725,4406.54078753596,4514.52724,3272.96181839884
58,2809.89877718594,3404.56603451414,2981.7153994237,3971.49900699094,2874.428,4218.641519,4406.54078753596,4492.890966,3230.58042432826
60,2809.33855387039,3404.53683160703,2981.6751356702,3965.95839415962,2874.067,4204.141044,4393.26710946069,4490.232596,3188.84534052889
62,2808.7754187846,3404.52634280142,2981.63401505006,3947.55492492996,2873.703,4204.141044,4358.4358897151,4481.307082,3144.30932584033
64,2808.33696652189,3404.47345194627,2981.6063470985,3937.46191480295,2873.42,4182.117882,4358.4358897151,4457.85545,3107.78435481086
66,2807.84555229601,3404.42766153519,2981.58036394957,3930.64130790427,2873.207,4180.652661,4358.4358897151,4446.938432,3086.93059467116
68,2807.53938252636,3404.16265218389,2981.56232273927,3930.64130790427,2872.911,4180.652661,4356.78153423935,4446.938432,3063.98597449436
70,2807.24407715118,3404.13009637986,2981.54222514323,3928.17426361665,2872.755,4177.278265,4344.66896250448,4446.938432,3050.60072648635
72,2806.90351365456,3404.09554758163,2981.5238027805,3918.36946250239,2872.583,4165.51811,4344.66896250448,4446.938432,3030.57829160362
74,2806.62868860602,3404.05002520829,2981.51039602109,3904.9387991244,2872.487,4160.18377,4334.84170061186,4436.509396,3018.94019924602
76,2806.34265289567,3404.03571285376,2981.4971861315,3904.9387991244,2872.338,4159.260822,4325.25818570363,4427.610229,3002.87961988526
78,2806.05409493548,3403.82349888601,2981.49059061418,3904.9387991244,2872.263,4149.630635,4301.07392190411,4424.032518,2995.97171495348
80,2805.68156700404,3403.79438566728,2981.47887898927,3900.13297368785,2872.181,4149.630635,4301.07392190411,4416.74787,2988.93516234785
82,2805.42667845147,3403.75849881581,2981.47179138011,3885.10920218585,2872.135,4141.202423,4289.80030907937,4408.532131,2976.22879694084
84,2805.20417331612,3403.69859341302,2981.46587538563,3885.10920218585,2872.079,4138.375344,4285.86900411334,4408.532131,2972.70227334462
86,2804.97054824133,3403.66895924573,2981.46208960467,3881.23824451171,2872.024,4124.445989,4285.86900411334,4402.956545,2970.8041427252
88,2804.81237733029,3403.65520688065,2981.45812808251,3881.23824451171,2871.984,4124.445989,4263.2154626519,4377.655835,2967.26813722275
90,2804.71164320624,3403.65230235682,2981.45384831679,3881.23824451171,2871.933,4124.445989,4262.46682851533,4373.09355,2965.1915781476
92,2804.51685533197,3403.65036834283,2981.44972666372,3878.38803649191,2871.9,4117.026004,4262.46682851533,4367.976638,2959.75413539196
94,2804.34559854844,3403.61906518966,2981.44682578076,3862.79284525608,2871.848,4104.089793,4262.46682851533,4362.810493,2957.86911509605
96,2804.19634443471,3403.61710549025,2981.44392098306,3862.79284525608,2871.82,4104.089793,4252.03652871118,4362.810493,2957.22064718322
98,2804.10811714325,3403.61111159722,2981.44074154073,3858.47464941467,2871.774,4104.089793,4245.52203349555,4344.59052,2955.70224186183
100,2803.94974169437,3403.60532961853,2981.43813102351,3858.47464941467,2871.754,4094.916828,4245.52203349555,4330.112842,2952.10462732653
