# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,1623.96468758727,1623.87694480067,1623.78256356742,1623.81072445729,1623.96468758727,1623.96468758727,1623.90492209446,1623.96468758727,1623.75493934387
2,1623.39074750016,1622.97769730963,1623.17413141993,1623.2412956453,1623.236,1623.411475,1623.27479509409,1623.469286,1623.24972654617
4,1623.2313582284,1622.65461011429,1623.06604350788,1623.13285473749,1623.055,1623.330627,1623.1962471252,1623.339708,1623.19110672791
6,1623.14982794288,1622.42122689617,1623.02180666744,1623.07921714398,1622.977,1623.198249,1623.14410333622,1623.243571,1623.07537865021
8,1623.0979769025,1622.310118461,1622.98738412419,1623.01683982759,1622.946,1623.149233,1623.12124438066,1623.20636,1623.04188009332
10,1623.042723887,1622.22632071612,1622.96130165008,1623.0006263406,1622.864,1623.123988,1623.10996672986,1623.182648,1623.03784986182
12,1622.95619310855,1622.1767456307,1622.94600268528,1622.96951077024,1622.784,1623.117932,1623.06883202988,1623.167439,1623.01155371364
14,1622.83777790455,1622.12927332796,1622.90477694384,1622.94203142386,1622.677,1623.088843,1622.98046974385,1623.105005,1622.96226594308
16,1622.70100394384,1622.09546461636,1622.89591068738,1622.89765158891,1622.637,1623.064551,1622.95812414438,1623.080875,1622.94029367581
18,1622.61208174696,1622.07280581014,1622.8798103132,1622.89243859966,1622.551,1623.046492,1622.94521638692,1623.062472,1622.94029367581
20,1622.45723075876,1622.05079456081,1622.83553146566,1622.88993346934,1622.479,1623.023795,1622.9258843914,1623.023514,1622.93983085531
22,1622.37059509732,1622.03485655593,1622.79464877284,1622.86611366529,1622.444,1623.014762,1622.90961319321,1623.007612,1622.92571773651
24,1622.30946889482,1622.02379325182,1622.76451480011,1622.8597562816,1622.341,1622.989741,1622.87606715198,1622.977586,1622.91046788362
26,1622.25246982934,1622.01121132758,1622.72790080465,1622.85330264644,1622.285,1622.984885,1622.87056857937,1622.962346,1622.8862862605
28,1622.13734799056,1622.00029539013,1622.7214230323,1622.84096196303,1622.233,1622.962329,1622.86447271656,1622.936209,1622.8862862605
30,1622.02696019762,1621.98902142024,1622.69827907142,1622.82693685803,1622.223,1622.949389,1622.85364476245,1622.927015,1622.8492754489
32,1621.99195311332,1621.98202301594,1622.68404123386,1622.8244403496,1622.161,1622.937795,1622.83305982427,1622.923934,1622.8308310073
34,1621.94623638054,1621.97293953902,1622.67543639248,1622.8106304205,1622.112,1622.912156,1622.82495618152,1622.90651,1622.8308310073
36,1621.89415164832,1621.96540649386,1622.65281952493,1622.79265314811,1622.023,1622.897724,1622.81731786574,1622.906368,1622.82416412507
38,1621.86401721112,1621.96020083153,1622.64910550742,1622.7904585386,1621.968,1622.886184,1622.81390788167,1622.897147,1622.80193016829
40,1621.84388306392,1621.95407323132,1622.63236069322,1622.76991070688,1621.827,1622.873839,1622.81349608342,1622.874429,1622.79939546686
42,1621.8143525844,1621.94921600553,1622.61460093177,1622.76947049388,1621.788,1622.873839,1622.80524782559,1622.862667,1622.79558566575
44,1621.77274127868,1621.94397166687,1622.595630252,1622.76947049388,1621.719,1622.854589,1622.80524782559,1622.836142,1622.78988840133
46,1621.7219244688,1621.94083765711,1622.595630252,1622.76947049388,1621.649,1622.854589,1622.78654054253,1622.82181,1622.77537101796
48,1621.69816560012,1621.93816745692,1622.59221749025,1622.75766581001,1621.596,1622.836616,1622.76875508197,1622.82181,1622.75947594168
50,1621.67632705,1621.93439324896,1622.58780291456,1622.75766581001,1621.538,1622.823476,1622.76875508197,1622.82181,1622.75272650976
52,1621.65283716738,1621.93074616822,1622.57806705797,1622.75734536757,1621.494,1622.821423,1622.76875508197,1622.81706,1622.73853924151
54,1621.63480082583,1621.92844649333,1622.57578352614,1622.75734536757,1621.429,1622.81412,1622.76263835493,1622.780455,1622.73848146037
56,1621.6051976839,1621.92505851657,1622.53800706969,1622.75053169287,1621.333,1622.81412,1622.75693855308,1622.77053,1622.72106103419
58,1621.57515100827,1621.92239849152,1622.51456371927,1622.75053169287,1621.186,1622.812743,1622.75693855308,1622.75267,1622.72047081555
60,1621.5503487599,1621.91801955109,1622.50890455665,1622.7471056742,1621.131,1622.808954,1622.73731989152,1622.745678,1622.71889600548
62,1621.51831489812,1621.91449339227,1622.48240991402,1622.7471056742,1621.062,1622.803208,1622.73731989152,1622.712145,1622.69317527108
64,1621.49669289394,1621.90885563506,1622.45823156115,1622.71088481897,1620.94,1622.795204,1622.73312317817,1622.712145,1622.67864033437
66,1621.45760631125,1621.90547239329,1622.4230057847,1622.7085412458,1620.808,1622.776446,1622.72851265082,1622.712145,1622.64994791507
68,1621.39146088526,1621.90316101893,1622.40309676495,1622.69399706215,1620.719,1622.773057,1622.72509785964,1622.707794,1622.64544447029
70,1621.34747580411,1621.90004391272,1622.37950586908,1622.67411025581,1620.62,1622.769659,1622.72509785964,1622.707794,1622.63090716358
72,1621.30820836721,1621.89733035263,1622.37333720331,1622.67411025581,1620.485,1622.747373,1622.69688703759,1622.707794,1622.60548865877
