# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,1799.19930249658,1761.07926284529,1766.95176658938,1755.01265099654,1799.19930249658,1799.19930249658,1789.96333256172,1799.19930249658,1747.51438400658
2,993.671106055982,860.316165767307,808.305278246391,1018.30730967105,1130.31,1456.097023,808.722883452402,1016.459491,1248.83376414288
4,783.272325773765,768.392126499999,742.916574976967,890.789684503088,887.1736,1220.922455,743.970241773477,875.109515,1065.60153282086
6,731.230631032504,730.623219874647,719.894750079176,812.033320697104,780.9061,1026.832299,722.631653744015,795.651892,962.991514611954
8,716.257877271742,716.657258964953,710.318926835505,762.45156696827,740.6679,923.068685,713.146444793998,756.810894,902.082115700525
10,709.508978211693,709.891141157434,705.983289359462,740.903782049339,721.6122,844.859476,708.29442282535,731.347774,852.321821161739
12,705.594382864591,706.308083698532,703.690829869785,724.380081436804,712.3526,797.43593,705.348216878082,718.492924,814.021950442156
14,703.648616962238,704.295360518794,702.570558880463,715.234486595459,707.7694,764.965636,703.694830065236,711.282675,780.273355022284
16,702.589342832152,703.095282299555,701.929676352746,709.640394147988,705.2622,744.140145,702.618378673495,706.423012,758.536685794474
18,701.931298832793,702.421904052885,701.544253210496,706.214314280034,703.8181,730.030263,701.995193362982,703.963789,741.035984499548
20,701.556247860243,702.060193348885,701.339695928992,704.158273313681,702.9219,722.01637,701.646815069238,702.622618,731.556573349897
22,701.346921627922,701.80472735393,701.219471091348,702.868064964064,702.2859,717.459373,701.402066030603,701.890519,725.62654773028
24,701.213018741996,701.645221219316,701.147741779647,702.16432243096,701.9016,714.107456,701.22910353059,701.507913,718.625293463297
26,701.132352944434,701.500526157473,701.10139538025,701.718166249558,701.6524,711.783448,701.152132962586,701.27895,713.953930509363
28,701.083029931055,701.367702175288,701.062144225736,701.448266722446,701.4573,710.19166,701.097046904699,701.152324,711.04870568164
30,701.037824881014,701.299630842834,701.025588287227,701.278035438582,701.3553,708.805167,701.063299125137,701.082766,708.583318483374
32,700.974008016431,701.237425658976,700.980011057016,701.175051259432,701.268,707.741249,701.036759341948,701.04025,706.940567850187
34,700.868851268817,701.192701108346,700.920523639634,701.112855157658,701.2005,706.66636,701.012781232331,700.996318,705.444691499526
36,700.738759215593,701.16370065981,700.851499087421,701.067385346306,701.151,705.727989,700.980092122889,700.906779,704.598732628889
38,700.595845952659,701.137042040756,700.769958597346,701.036872698823,701.1037,704.982859,700.942833374453,700.796556,703.938184330688
40,700.48903390616,701.107314856332,700.692981561187,700.982610158573,701.0673,704.377119,700.897948957903,700.679019,703.126332246608
42,700.381526832844,701.091615288027,700.627442649921,700.889825430756,701.0327,703.889933,700.854718072817,700.566539,702.667540318566
44,700.303304425011,701.081639621038,700.565949932499,700.750651951678,700.9778,703.446299,700.823147436162,700.464953,702.355800743053
46,700.234574661063,701.070779408034,700.508634018548,700.623430383752,700.9279,702.997231,700.784420483743,700.377686,702.059181668205
48,700.187888325033,701.063617420168,700.454602882919,700.508233761642,700.873,702.679143,700.739879463084,700.299168,701.856030307861
50,700.148959409281,701.05623871399,700.408731931262,700.399543815741,700.8111,702.381116,700.69728707769,700.243079,701.664562683614
52,700.119561693272,701.048492555702,700.36354547978,700.301638141323,700.758,702.149783,700.662076105327,700.1931,701.497492811113
54,700.095649205317,701.041693960325,700.330686129059,700.226874491075,700.7109,701.958628,700.608625518321,700.147226,701.368203193526
56,700.078369426818,701.027586320017,700.306595531152,700.172298178184,700.6537,701.784904,700.57421906745,700.116533,701.288657373211
58,700.066079598466,701.021586288482,700.284733087154,700.124986889531,700.6043,701.650243,700.529314309343,700.092408,701.224488180921
60,700.055693526809,701.013713612187,700.269608119987,700.09243153,700.5571,701.556473,700.488102619453,700.073226,701.180801315486
62,700.048654514448,701.003012818406,700.250651502936,700.067469782451,700.5164,701.462241,700.446658065279,700.058274,701.13294428615
64,700.042444170713,700.995022496174,700.234380234341,700.050112421536,700.4801,701.372378,700.41137898584,700.046054,701.097383718444
66,700.037194774058,700.987347057458,700.223339268559,700.038160350087,700.4386,701.313906,700.380305516874,700.036645,701.070348055198
68,700.032836975029,700.974549140569,700.208629134965,700.0288818165,700.408,701.259729,700.354037101826,700.029904,701.050103489763
70,700.029372262302,700.96191375758,700.198314739062,700.021562141657,700.3776,701.21736,700.321903212484,700.024231,701.031875630952
72,700.026968523633,700.951452072193,700.189865335719,700.016057522298,700.3496,701.177593,700.293183338192,700.019588,701.011158138424
74,700.024894582451,700.939756373048,700.182081942944,700.011817130577,700.3262,701.149472,700.267700870341,700.016159,700.982723877984
76,700.023316266965,700.932476788808,700.174050906048,700.008895552823,700.3008,701.124736,700.234944307134,700.013352,700.958238250108
78,700.021925821424,700.92063687568,700.168039044542,700.006671521823,700.2805,701.100549,700.213179445214,700.011307,700.926941807507
80,700.020811780064,700.911572546781,700.16188377584,700.005191160493,700.2623,701.085482,700.198215288283,700.009318,700.87839656719
82,700.019568875732,700.901498464382,700.15441860476,700.003935271051,700.2431,701.071436,700.172756877687,700.007939,700.835139831192
84,700.018672035402,700.894564060844,700.149116111464,700.003062541711,700.2269,701.058376,700.158795316595,700.00656,700.810267764609
86,700.017985820947,700.886408437379,700.143834709192,700.00246150126,700.2091,701.046545,700.142746292193,700.005703,700.763437003726
88,700.017456644754,700.876609892497,700.139104859527,700.001986536039,700.1933,701.029819,700.124175894172,700.004884,700.724439828702
90,700.016934075028,700.865147683656,700.134679019897,700.001628552147,700.1774,701.012387,700.110259690618,700.004222,700.690523073249
92,700.016493910387,700.855450787714,700.130176262122,700.001361901499,700.1649,700.993278,700.099363040973,700.003826,700.644890597369
94,700.016146896958,700.849665577314,700.124317596922,700.001134281213,700.1533,700.965343,700.089727383422,700.003396,700.60877416038
96,700.015675696941,700.843552975291,700.11764076615,700.000977802722,700.1425,700.934179,700.080587032424,700.003075,700.578352597779
98,700.015281309144,700.837990298937,700.114067849241,700.000860973808,700.1305,700.884306,700.070853868692,700.002845,700.531157648402
100,700.014987068038,700.834435709475,700.109250008754,700.000767698619,700.1212,700.840167,700.063221528036,700.002661,700.494498544886
