# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,17704972.2629616,14632294.6008108,16304903.6967757,12709463.9637575,17704972.2629616,17704972.2629616,28141120.407258,17704972.2629616,10736966.7061889
2,722865.38350478,366598.646717432,479785.407405474,679678.640587265,648103.3,1443639.805591,811160.487394586,1540402.349351,962298.422177877
4,262734.825701391,243298.619778602,331865.396253711,353134.022218701,261560.7,1078615.11418,510668.850527264,845103.317308,770056.031821684
6,148535.153869399,176823.423637262,266379.964149342,244612.540680994,151882,738192.265226,414472.768793679,617763.08161,608323.578376922
8,81303.1395069463,145455.296810333,196696.166048249,180365.328974517,76267.83,433709.173882,333781.046092481,475369.323494,503645.146529723
10,64592.5858426444,123739.858704245,146083.031738947,147764.623152998,55851.81,352611.196434,276401.155190212,406362.190108,370092.709843684
12,54432.7014438371,113047.584070247,125523.224019664,135010.080433816,44662.12,315336.462018,251483.997908468,375203.914642,305992.959431936
14,46795.3827699522,102608.137047383,104667.104385369,115889.880430298,33990.24,279917.399982,222012.910324719,328716.155359,256200.681463287
16,39376.7846035471,97472.3939558244,94635.8413248765,107582.129443982,30483.81,251043.583363,216471.715341565,295546.712538,221103.351785229
18,37067.9291001571,91738.3016484888,82564.5539216992,100471.871244143,27419.64,234836.45004,187957.20666719,279688.30202,203531.83280922
20,33037.1825255667,86135.932570207,76405.4083685203,93142.1100033536,26431.57,204926.732423,176138.164658504,251553.387524,185112.220039631
22,29456.6988507954,81135.7674298118,72923.8498436992,88112.6436581779,25243.17,181321.246308,167869.378011459,243532.416466,158655.855046591
24,27741.2982948041,76812.7125797357,65798.6932632702,79540.8172618205,23829.75,167692.573718,160115.279338085,225951.125842,153182.039935855
26,25593.6964400601,73943.3883815382,61145.51389733,76531.1967977669,23395.79,157675.817277,148498.374784846,211714.902608,135799.177459107
28,24850.6936148188,72072.5488773244,59484.8630199378,72638.1729151755,22730.33,147151.311773,145652.872721203,205990.057332,133377.38027697
