# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,30430.9094394931,29495.6649954918,30155.4137326156,29725.0061398337,30430.9094394931,30430.9094394931,30768.4119934627,30430.9094394931,29344.6621372295
2,8702.13194055827,5469.13731008689,3492.15724179163,9843.06427832645,13012.46,21690.230869,3766.01284454498,10386.154078,15897.0547211533
4,2863.34173301739,2645.12416678785,1655.09656785669,5948.31632987214,5438.986,15585.128485,1658.6764307156,5712.44988,11874.2483321081
6,1256.32743905426,1523.93559844793,993.346067683372,3562.3045501405,2899.997,11047.337109,930.283186875881,3511.526312,8440.70923530771
8,736.506511283127,976.26390595552,735.099264501218,2318.64854842305,1640.524,8246.306824,637.996723638633,2260.207411,6910.20506226746
10,542.483861593159,735.224963235829,620.127209770791,1653.81903211109,1120.647,5900.604816,539.864663033846,1522.684788,5262.72183497801
12,458.219343070354,618.969482372377,539.70724372959,1193.98924967956,838.1819,4278.834236,481.017619214436,1057.371134,4240.35488821588
14,416.062599257075,546.603750096469,508.444244776547,918.513132052574,669.0928,3069.999009,454.435968730789,880.344953,3407.47887276898
16,386.587141462958,497.499667992583,476.32341147765,743.30828058117,581.9893,2327.321345,432.272223907909,750.057889,2710.11471041486
18,373.305010525147,454.115492217964,456.73007956161,635.597510567624,531.1602,1714.633234,414.824945339797,644.617316,2153.50014502788
20,363.449178225345,420.79857830329,440.08746462132,568.5868377419,495.3759,1366.227195,405.002993217891,584.290971,1787.25335072339
22,350.244017576365,394.052563646919,429.280896629399,520.958274925681,467.7326,1092.193615,392.322023207595,541.313211,1474.90452960776
24,311.772811009552,374.861322338215,412.296638470553,493.362662921832,453.2894,907.207136,382.615318992213,504.50152,1257.23763111968
26,252.622948270297,359.508184321239,405.446318945157,459.245079184188,440.6907,761.799741,377.844410868418,475.676382,1089.06794592256
28,184.589042091378,348.146788027261,397.294898935754,434.577730481817,428.3888,658.493636,373.053956494874,464.844868,928.422749833691
30,112.769150904093,336.363432327158,392.162031482353,416.172687505926,416.7747,598.214965,362.110683293732,453.84729,830.013347148958
32,68.0414234094984,329.421451645282,383.153258842806,399.160937233803,405.5124,550.684353,352.457187715349,439.773398,741.35930271611
34,40.5329307306514,322.014012596126,378.868398827177,390.715109819985,392.1767,515.989204,344.273390698915,430.619702,671.672074354893
36,23.3482276911118,313.054877796205,372.485402068376,380.703966365461,378.0625,488.973466,335.516180927865,420.709311,632.314541976793
38,14.4774460751163,306.072670389846,367.462490122205,372.684815677594,362.3299,464.733349,322.071366295181,414.711842,595.835561321325
40,10.0797132050278,298.93294999177,358.800439880646,367.457338273326,346.1253,444.690362,303.665056439447,410.04659,564.031981605097
42,8.06713662241022,294.172203844794,347.395483445997,361.004202448299,324.9971,435.65954,276.480333907309,405.84901,535.221190063399
