# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,17834.5666938681,17613.7307052527,17492.6653535932,17446.8957834016,17834.5666938681,17834.5666938681,17739.2657989412,17834.5666938681,17457.5771562192
2,16247.5326383135,14106.6182751602,16019.3620187027,16130.4504018857,16409.4,16395.499216,15978.7827242629,16358.033725,16024.3785886034
4,15902.7798913675,12624.5543637294,15823.8481292454,15969.8703630161,15968.29,16245.819676,15860.2909864538,16275.932395,15903.8830974027
6,15407.7068854729,11713.9454258182,15646.9596125416,15849.6829783158,15715.52,16011.274726,15642.2284529529,16100.976659,15784.2910315628
8,15010.3536672631,11029.9207567867,15570.9033562158,15777.2379030593,15542.97,15878.505661,15586.6293218019,15904.737567,15682.4110174389
10,14398.6357322418,10520.1562139901,15511.0372693307,15753.7625959797,15322.3,15757.936729,15495.2644697315,15812.418531,15629.7876430839
12,13618.0141129684,10156.5336570038,15382.7996996188,15711.196454275,15151.02,15728.828551,15471.8186376742,15734.388246,15457.6221649438
14,12911.5546439666,9881.44732323788,15313.9603387717,15652.7316916391,14997.07,15638.518821,15436.1937826468,15635.653639,15430.5725594613
16,12200.9806673618,9654.3062865058,15285.9541393468,15633.4214637132,14681.66,15561.996718,15419.8578933676,15607.112285,15402.4168652457
18,11711.2067199162,9463.50444632804,15233.1509585001,15595.6748876609,14544.45,15561.996718,15388.7133992662,15584.195783,15393.1227419721
20,11370.133015013,9291.52542224834,15211.2310573719,15578.2542914327,14302.35,15534.592676,15299.2570446156,15526.823167,15363.7532675424
22,11182.5913087611,9145.42450967677,15194.7436720147,15478.3218444156,13944.73,15533.239064,15287.1589259097,15501.266385,15312.2467993368
24,11017.3134840732,9039.25192655024,15189.5824673903,15476.5286914324,13696.19,15519.189208,15287.1589259097,15480.565143,15177.624908412
26,10804.8079890397,8954.80178276576,15153.5571629479,15435.6953057612,13510.97,15461.737376,15287.1589259097,15468.255395,15144.0988548062
28,10634.3012993422,8901.95560792238,15114.0253273032,15400.2482854631,13144.05,15434.57936,15280.4557069544,15423.647106,15117.0922173392
30,10527.8344703526,8838.72929580458,15080.1039315813,15354.3813781667,12865.94,15383.774375,15248.2350359889,15372.902831,15109.6610088695
32,10390.2161806443,8804.03896412344,15044.0217441285,15337.9551321777,12507.11,15383.604245,15244.4407567809,15360.142548,15048.6434100608
34,10309.9036331862,8776.29461620352,14982.3861826659,15326.5655655639,12238.61,15371.576885,15224.2259450573,15339.208104,14956.380693819
36,10182.0012607126,8737.52403992325,14930.7092765661,15308.5378487812,11892.18,15324.278086,15218.7136042482,15305.192265,14813.9965895435
38,10052.7724161339,8695.11868743302,14873.27710375,15281.4676420537,11533.81,15312.534401,15207.3089396932,15291.843819,14642.3424670947
40,9941.09268996757,8661.79921353027,14770.1642987234,15239.9618061936,11206.66,15292.86178,15202.0234771488,15288.696829,14573.666475213
42,9827.1923083246,8638.19776498668,14712.0335299949,15226.4608074957,10947.93,15285.271464,15202.0234771488,15288.696829,14440.2785976946
44,9731.70940062365,8611.24979864881,14667.3739640233,15225.8025877463,10715.56,15274.391809,15202.0234771488,15282.573349,14371.4857384077
46,9653.75008719269,8587.17037368719,14648.2397067733,15215.7520263,10426.66,15248.806751,15202.0234771488,15282.573349,14242.0609044262
48,9569.78791272769,8566.20620817176,14635.0332390742,15163.219387365,10252.53,15242.697402,15196.5736049104,15281.290132,14070.6257848207
50,9517.92215229528,8553.25631982676,14620.4482440554,15161.0436156091,10034.47,15242.697402,15194.9863745064,15281.290132,13846.9945960552
52,9473.81029540591,8538.39889688771,14585.9168293422,15154.315087391,9854.693,15237.582325,15184.7194260727,15281.290132,13681.8127841772
54,9418.34818540834,8524.51007052228,14524.6509835953,15147.2477399133,9641.836,15207.469215,15141.6484768005,15262.896994,13468.3560259535
56,9337.41757710632,8509.56366885292,14474.4050751232,15113.5683726583,9494.032,15173.522144,15141.6484768005,15258.245273,13288.6224077296
58,9273.03490645828,8496.29435295104,14436.3489166476,15104.9396194977,9309.39,15172.01172,15141.6484768005,15231.300785,13133.6363223296
60,9182.96482867189,8489.96581474714,14417.8284946061,15090.8124601986,9127.604,15158.831774,15138.9290590208,15165.127591,12991.452253083
62,9120.52985298581,8480.15191861961,14367.3653689195,15088.7128881616,8950.318,15158.831774,15123.5812903345,15162.093715,12841.8876131832
64,9079.4636727823,8468.7112407462,14277.7856379677,15088.7128881616,8764.173,15152.893436,15110.6443131955,15077.621284,12699.1439430089
66,9026.06616646237,8458.48627696033,14214.719882121,15012.0484984763,8602.199,15152.893436,15060.853306547,15072.666488,12533.2359721127
68,8977.61760373251,8448.85285629912,14168.9514182477,15012.0484984763,8455.071,15152.893436,15052.9574016599,15072.666488,12365.3904505387
70,8918.26417145681,8438.02581640534,14144.764546012,15002.2069722495,8337.744,15126.697354,15049.2323077083,15072.666488,12143.0944016346
72,8870.20386739195,8431.89661406253,14060.8602459965,15000.2275683789,8228.548,15106.901254,15049.2323077083,15035.398239,11961.7426769049
74,8843.34427562486,8426.77866488853,14001.0711487784,14996.5755275337,8138.235,15088.556137,15049.2323077083,15035.170052,11737.9043460338
76,8799.15544145201,8419.72927055751,13945.3035377763,14996.5755275337,8045.749,15088.556137,15049.2323077083,15035.170052,11557.6701311924
78,8746.57192567974,8416.68458093501,13838.8981262871,14996.5755275337,7976.789,15088.556137,15036.6689024734,15035.170052,11389.4971489428
80,8703.58112207739,8411.01884773204,13705.780808232,14996.5755275337,7889.261,15088.556137,15011.2768532765,15006.085371,11157.7294006246
82,8662.69995230972,8407.23033140128,13531.0246782198,14988.7164062651,7812.378,15088.556137,15011.2768532765,15001.378134,10920.8435570783
84,8627.18488592703,8403.5207993509,13467.1844206444,14988.7164062651,7728.176,15073.965203,15011.2768532765,14999.40283,10668.8885079683
86,8598.57154051149,8402.3091617917,13407.8154793722,14988.7164062651,7675.021,15073.965203,15008.2063705522,14999.40283,10449.7339016896
