# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,17908.0435273503,17576.5870349508,17350.3752061553,17579.4468604697,17908.0435273503,17908.0435273503,17843.4698666507,17908.0435273503,17451.6958135365
2,15500.319220106,11249.7638715416,10919.8312751969,16029.977157176,15897.23,16271.085056,15116.141703075,15174.860851,15688.9280081243
4,13950.8567735428,9439.1003583543,8918.94837441779,15794.8758392059,15319.8,15790.401702,14848.271070801,14108.350433,15341.6828323802
6,12698.3616631263,8076.34521067061,6907.49667317762,15546.0679314948,14673.16,15382.001618,14652.8308632077,13656.945354,15018.6282606179
8,11563.0072178324,6947.57838226716,5417.50482076875,15461.7049326476,13966.31,15019.367343,14442.6957683574,13273.403379,14651.1671891636
10,10859.5147130666,6124.18465352218,4411.57348023688,15398.9100802324,13359.7,14616.635204,14215.9615164124,12874.19735,14354.4688976694
12,10099.3338746133,5375.67509052356,3600.70482276963,15280.3164806282,12741.6,14487.377869,13903.956817606,12523.169616,14040.0100336705
14,9457.87507320154,4832.77810488045,3036.48033069552,15096.6807606616,12136.26,14168.538652,13811.1478200901,12185.849536,13780.345854572
16,8772.23816662447,4349.49724420798,2674.26182418979,15031.2872801155,11684.47,13961.45598,13736.4435277025,12045.696793,13429.5130189814
18,8232.14488719316,3941.345472537,2414.77268273349,14958.4449736453,11160.55,13632.471897,13618.3948094537,11856.286445,13216.8977818933
20,7769.98666726047,3642.48841427293,2263.1888058748,14952.737265398,10731.33,13374.399505,13535.7317446699,11653.280859,12917.4220024995
22,7335.28789538037,3368.58638958444,2165.94687412938,14916.7519961187,10362.99,13197.141953,13441.9582754534,11467.125745,12798.6792182091
24,6844.43113595499,3212.37071523819,2103.426344493,14846.8637359344,9961.575,13124.28421,13383.7546061629,11299.884819,12669.7336559437
26,6438.58702656264,3064.33324439619,2062.15655902792,14745.2426856648,9670.223,12868.945668,13345.6242451558,11134.384381,12481.9928413242
28,5982.2743504939,2930.33679400972,2029.817710077,14657.4625193494,9360.179,12794.179978,13271.6155188434,11010.977742,12265.2568976328
30,5629.83642587595,2819.32757056135,2009.08147038312,14606.6891327732,9047.15,12584.198935,13188.5464086861,10884.594311,12036.5891143268
32,5346.60376233218,2747.41518722223,1989.12445301736,14536.522478198,8813.759,12540.337686,13110.5239570604,10717.334344,11919.0837326015
34,5038.07560315189,2710.07853138471,1984.08823278424,14479.8010105584,8602.662,12423.278506,13065.1619336866,10530.210075,11758.5880611561
36,4767.58154338621,2662.93503217609,1975.88451674469,14344.6986536426,8418.242,12318.91275,12966.621782406,10362.553428,11521.1654791098
38,4526.52032483079,2618.1124087763,1967.40721443759,14286.4902161541,8242.614,12059.705174,12937.9053628095,10329.327293,11394.1053679758
40,4342.44462516528,2587.60741113584,1956.14026927336,14108.1602427932,8078.226,12025.172735,12897.015663654,10209.831836,11202.3789645112
42,4208.32567119481,2579.04235332902,1954.53237548026,14089.7283915478,7897.402,11967.492693,12828.4432075343,10184.580751,10983.8575810987
44,4069.16443628673,2556.31678630255,1953.59524768836,14061.9862565152,7745.981,11901.248895,12773.7383477152,9971.138277,10698.6591873179
46,3983.74044760388,2543.4454087458,1952.4223132491,14000.1760332147,7601.46,11802.063262,12726.7043044898,9872.30056,10576.2443452184
48,3902.93295928151,2536.74716444563,1944.06691874185,13881.8797269214,7462.088,11691.630286,12633.4872240008,9788.177967,10311.9187295067
50,3815.81446866224,2523.6660713098,1943.7333745423,13824.8447315548,7329.068,11623.293326,12540.4918580482,9753.080837,10212.3155947769
52,3747.73660238888,2517.58926845204,1930.4289479144,13716.389225051,7173.452,11558.476389,12510.8173218919,9628.004319,10133.5349214069
54,3678.24289883901,2510.43584198425,1924.5582710504,13647.2982329663,7063.672,11512.701934,12492.7102286501,9555.554586,10020.675202671
56,3609.36794120379,2507.0611378523,1920.02120949739,13617.1068410436,6939.539,11493.42065,12471.8131518314,9518.910492,9906.39958178452
58,3559.37420540171,2497.37525026891,1908.62791456985,13485.2258307511,6829.654,11409.540562,12440.7212651882,9461.545571,9751.52786237958
60,3519.19760271901,2489.59079827377,1907.55149119854,13448.6963907734,6727.128,11244.841372,12415.0318667986,9397.566412,9640.03627305875
62,3473.46204831265,2485.21554331908,1907.33992992517,13418.3970119526,6616.154,11158.478901,12402.4229658589,9318.386526,9570.64122995538
64,3403.93941078746,2480.48134651735,1907.28873261674,13355.9448734791,6519.618,11110.719783,12376.6644324182,9283.330241,9379.52633517112
66,3387.01743188335,2476.52126715221,1907.25456445711,13323.381658491,6439.839,11092.289807,12376.5066361628,9234.911754,9211.18858556117
68,3343.74388129913,2473.99134258847,1896.45280953607,13222.3451177831,6355.99,11065.39113,12330.5800275705,9142.247748,8994.74584560554
70,3326.60509370149,2468.6755610326,1884.57087722847,13187.1426941848,6288.768,10988.683822,12318.3574204182,9087.787547,8906.33282858289
72,3304.97257464519,2467.88039502265,1878.03540059107,13078.7553916229,6202.612,10953.102409,12318.3077214914,9080.651941,8794.10253663999
