# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,3599111969.46342,3484724195.3047,3449588567.74615,3452662156.78418,3599111969.46342,3599111969.46342,3635460957.91831,3599111969.46342,3388161504.60079
2,705543758.317294,301461524.395854,133079803.697885,647882209.135433,1449454000,2355488025.1599,243046140.418732,1243626799.14794,1816946505.54903
4,57878892.0250257,87672005.4750662,34224675.0989713,268248368.158137,327019000,1840560652.66262,38342111.8076296,373318432.292825,1336625365.53751
6,5823091.5874434,26053841.6405306,10082070.0609702,115653063.596237,88159700,1310676380.25726,5784573.34167734,169362882.942446,916275276.524501
8,693305.440445267,6267749.50641481,3585978.35211633,47888405.6882348,19108830,951176908.062145,824644.001082715,56622383.681811,649369067.661777
10,95069.6454879258,1981212.60775881,1525095.08166085,19448298.4297766,4678599,613452087.524623,159126.780936908,28074077.043136,495652002.177269
12,17411.7132646377,544631.111245123,580295.500418264,7304311.60556713,1370569,377281503.850215,36241.9833444755,11906997.765601,319960707.516622
14,4326.6231431845,178723.781842976,228554.369150618,3428215.38073956,477876.7,195658712.012203,8298.94427964334,4239534.279731,226570832.266218
16,1517.12589142848,55441.9733116353,86925.4775690104,1278953.0365941,236484.9,94328648.924427,2815.99704595719,1643285.88692,138017033.890734
18,801.16797780824,20122.5034506141,36412.7448038193,491740.619402922,111191.8,44092895.944213,1369.26983198752,614424.305691,90263363.1382724
20,559.677528414191,7966.51373502979,17356.0301553514,206525.838111505,52794.4,20504451.598872,837.061435638291,250536.911338,55558879.8324555
22,409.425004569845,3949.73504609236,8555.10855131459,72964.0285010739,28422.09,10480143.582886,607.610778112916,116777.789856,33971151.7207022
24,312.665212271542,2257.2998547216,5118.57155084311,33943.851887356,16201.56,4849810.483906,426.410297727869,46650.890291,20532407.5384126
26,249.360627154803,1514.85333116936,2816.39024065606,15094.3349379665,9396.318,2159709.177595,330.615203722475,22913.044287,12812338.2103331
28,205.380834170838,1054.10317510598,1671.18895713663,7230.67477239282,6094.011,1011446.79211,259.480767345692,10717.723741,7227918.58980855
30,172.073854530154,837.347357267638,1205.99342038458,3877.19111068499,3752.226,478489.151514,210.519002832759,5087.528352,4387204.2360513
32,144.12308525596,670.388632545792,874.432488634762,2072.19504855297,2467.53,226509.392639,162.458708821363,2767.986158,2621785.56455532
34,124.586523486846,583.271137290202,656.605972056611,1377.17633335776,1796.635,112963.388779,132.102845700939,1726.034276,1566688.45268187
36,108.196780934926,506.997239202059,530.604123764797,894.909065095496,1220.394,59581.619785,112.230624537244,1135.534488,961791.539596863
38,95.9168187621947,461.576135822346,434.986733970585,614.338615671079,981.2197,32364.03986,99.7278241249597,809.83868,584575.051967645
40,86.4987747886877,427.547713500738,364.859353786504,442.741848462714,796.4975,16590.862727,91.7469219808217,609.202571,342693.47578489
42,78.9567975502936,401.703482177028,322.193155151384,351.141309385951,667.3492,8811.981787,86.4004321075623,478.826678,192138.318557986
44,72.6477448883502,382.651023798388,289.98507631228,285.085343509966,579.9915,5825.862989,83.0494569866516,389.707825,136034.70800308
46,67.9197737599074,369.351782090244,269.938177635552,233.322431289967,519.8334,3737.457049,81.0891804138002,323.96916,88041.9582772341
48,64.2474459965563,360.013723083489,252.968486557715,199.69717469034,465.2544,2422.684737,79.5867386242319,289.702422,57842.0333521446
50,61.3773015615136,350.409261003279,240.988808035118,172.767413480583,425.8901,1731.251797,78.5504475587539,258.471799,41494.9995046836
52,58.862407451455,334.966618198548,231.588615158352,152.923297662368,400.1184,1334.109197,77.8333979081608,234.838917,29895.9798532145
54,56.7292056176108,328.831749466135,223.274016083638,134.697392158072,379.9933,1037.131742,77.4202418203619,218.537593,16344.6479658796
56,54.9476376572306,322.441117281743,217.99594794597,122.333522299237,361.6007,797.795922,77.0506987411108,206.522623,10600.3189846704
58,53.6786341323667,317.414498419246,213.752972486373,112.688956271621,346.6058,644.156366,76.7412157062564,197.318812,7271.42757815242
60,52.473904629592,312.269686815452,209.629299906533,107.074403075221,335.6019,540.357625,76.5278167880116,188.256144,5296.21635148561
62,51.6619393008482,302.348458667082,195.520837370507,101.098436169144,327.2825,438.968596,76.3641292851635,181.810679,3470.04927977416
64,51.1226722085139,295.409997358352,190.862950585906,95.9108132525313,318.6709,372.328931,76.2078312899243,175.111097,2610.04559997529
66,50.7298409973946,290.146170727005,187.961600217689,92.7125766750601,310.8196,306.426739,76.0725120037336,169.591378,1999.82554674207
68,50.362893488638,285.559650337771,179.397111941756,90.0083947037235,304.1177,253.308583,75.9507227369299,165.089695,1436.8611533863
