# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,13189480.4733524,11191002.9040203,12098395.5209707,10948409.3203045,13189480.4733524,13189480.4733524,14572276.3567941,13189480.4733524,11220463.9367195
2,563693.928177011,131568.407382618,20063.3019455799,306259.597015625,465566.6,3961190.626378,254353.378072474,1872647.509316,1459705.14946853
4,38851.815337503,28313.8348135207,2801.21312439335,71134.1380893197,18532.8,2217068.729599,57805.0356592836,371673.213655,623732.949984889
6,6736.8242949003,10838.0796729619,1676.73751753027,16303.074462468,3613.025,1257192.651021,20955.1294502451,67338.414949,268422.499586233
8,2451.01161113518,4906.15375329541,1571.6142858272,4255.27931131606,1776.958,697918.5263,7676.64965761473,21529.645648,120445.945046523
10,1743.0284443512,3034.72271356851,1551.23438146838,2301.4336078164,1592.671,416799.913671,3692.62907465723,8646.674756,58583.4598165935
12,1604.05662764846,2219.09645807711,1545.05568730234,1777.62601871167,1558.819,266401.723167,2307.0751967813,3237.796265,26523.0293035309
14,1566.63094085511,1889.93752332387,1542.51253382512,1629.50282452685,1547.168,177507.122212,1857.71464697334,2225.409832,14965.3712792542
16,1552.67120064407,1732.3393940288,1540.72357271759,1580.67180535739,1543.256,128734.747622,1678.33950153429,1749.025558,9072.24449258504
18,1547.60582670742,1649.81200448459,1539.68696263658,1559.513501136,1541.288,80944.123658,1608.25878450375,1623.880417,5022.31734421932
20,1543.99590630891,1608.62115127042,1538.94813624674,1549.64254997565,1539.314,60102.566675,1575.751380406,1584.774639,3365.59394035472
22,1541.42691239593,1592.05574124653,1538.3233638911,1543.91145368649,1537.786,44583.875021,1561.66806435826,1559.868365,2737.4833754204
24,1540.79787514042,1583.17933406207,1537.75135619516,1541.79393135981,1536.937,29536.463348,1553.53535830961,1551.849912,2183.62423965189
26,1539.88161498873,1577.9711898968,1537.07893187919,1540.52757845336,1536.337,22167.383689,1548.4961182899,1546.24573,1920.53898162356
28,1539.15297612572,1575.51341638408,1536.67166470771,1539.56514635549,1535.789,16521.254865,1545.67521171484,1543.525488,1784.63149941933
30,1538.60657002643,1573.90973405499,1536.08941074988,1539.19468702113,1534.797,13454.763476,1544.18369665597,1542.113573,1688.10204426072
32,1538.05694511737,1572.68757066149,1535.33103647471,1538.48066535,1534.378,9037.176325,1543.3169607233,1540.96448,1644.59614967948
34,1537.80494647854,1571.65393979655,1535.02139780548,1538.09312693266,1533.921,7441.745702,1542.27061683684,1539.671057,1606.88205067686
36,1537.35393327676,1570.9652651028,1534.75930451941,1537.68570080585,1533.025,5733.201416,1541.10126659784,1538.588168,1582.35535338856
38,1536.91506713435,1570.56470901428,1534.34503626521,1537.54597971334,1532.118,4599.356241,1540.34546329773,1537.972616,1572.09054071158
40,1536.5385530187,1570.14525529607,1533.94786464874,1537.31918743082,1531.061,3722.680413,1539.60399581928,1537.814919,1561.57183141607
42,1536.52678568102,1569.82786490766,1533.72609569615,1537.24077694775,1530.285,3304.818935,1539.11423458825,1537.356212,1553.82596485914
44,1535.88286259873,1569.59708542277,1533.37888708016,1537.09159341109,1529.382,2741.703152,1538.83865566366,1536.967106,1550.50282617513
46,1535.54321241128,1569.39862314498,1533.12432934458,1536.8730024755,1528.263,2366.472886,1538.80118463588,1536.752685,1548.08533697713
48,1535.08129715035,1569.05914315958,1532.88608263805,1536.42048452229,1527.443,2080.23606,1538.30625789198,1536.684934,1545.98921710335
50,1534.83562498002,1568.87848617475,1532.30877747359,1536.40054147909,1526.156,1864.946392,1537.98554688667,1536.37405,1545.04565716269
52,1534.60088712673,1568.75635004067,1531.73225734225,1536.15129981217,1525.068,1748.808748,1537.68342679403,1536.275563,1544.21228767437
54,1534.41228815799,1568.63906158907,1531.46517746468,1535.94403097638,1523.953,1693.932913,1537.45834819403,1536.198402,1542.84622497898
56,1534.21186539262,1568.48401246362,1531.08156702957,1535.79702231916,1522.831,1648.35366,1537.35845329598,1536.010074,1542.05798104881
58,1533.96173110578,1568.36594925295,1530.64486492034,1535.67582020104,1521.381,1616.979086,1537.22864787059,1535.930023,1541.18219636259
60,1533.77633924886,1568.23862368593,1530.34149042258,1535.47572729276,1520.215,1595.619126,1536.99968652289,1535.51661,1540.41274916314
62,1533.59459807555,1568.09736165734,1529.73086139579,1535.46956830325,1519.324,1579.32411,1536.88407167789,1535.411253,1539.98188214859
64,1533.21073305153,1568.02195104116,1529.21680012187,1535.30327527691,1518.65,1569.194831,1536.66778172202,1535.300572,1539.10866266085
66,1532.83406980745,1567.94628066764,1528.76643215706,1535.11463271658,1517.675,1562.676489,1536.53844981889,1535.260817,1539.04698111453
68,1532.12103153922,1567.81637223021,1528.2542353221,1534.95907721741,1516.746,1556.043757,1536.45076401569,1535.101271,1538.88843738499
70,1531.56439765774,1567.75455100979,1527.54340991934,1534.74461948641,1516.047,1551.920974,1536.45076401569,1534.861476,1538.60329479671
