# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,521.470850129127,521.447032399752,521.424784366252,521.444432721055,521.470850129127,521.470850129127,521.464567083018,521.470850129127,521.441999724714
2,521.33646774035,521.296999035152,521.312528724702,521.313389768411,521.3363,521.335177,521.318686990251,521.344342,521.317599632533
4,521.313282515878,521.254846550447,521.294233704734,521.305191636312,521.3223,521.3111,521.309000279135,521.30735,521.31298247415
6,521.302065050599,521.223279912675,521.289256270996,521.29209912374,521.3027,521.293379,521.2925076849,521.298985,521.306492071708
8,521.292982048833,521.195228336861,521.276943149781,521.280505111743,521.2937,521.28285,521.288296779315,521.294505,521.289134432951
10,521.278673312954,521.161183651689,521.272821478637,521.272983538398,521.2899,521.273966,521.284373191267,521.282848,521.27604179023
12,521.272852884146,521.131072937223,521.268766507668,521.268176103291,521.2833,521.270461,521.278342837203,521.272309,521.272474218355
14,521.259200707177,521.112174802013,521.261954827366,521.262605819973,521.2829,521.262066,521.275161987099,521.269221,521.269487981772
16,521.257599022506,521.091516835329,521.260922161008,521.259663756511,521.2726,521.260572,521.271968374445,521.26352,521.267259740094
18,521.254962975126,521.074946009884,521.259280619602,521.259512882098,521.2699,521.258304,521.266517746934,521.259722,521.261546507002
20,521.243541176059,521.058327998944,521.259280619602,521.258733899449,521.268,521.255986,521.259130585216,521.253533,521.258123389081
22,521.241625203313,521.039292638008,521.255699433314,521.252350920679,521.2631,521.254324,521.256247196978,521.252693,521.256002385546
24,521.236446009843,521.015692501579,521.252770427659,521.248219886178,521.261,521.254177,521.252031555425,521.252693,521.251404992831
26,521.232798244804,520.995350828036,521.251884028042,521.248219886178,521.2602,521.251964,521.251347675481,521.251774,521.248726474716
28,521.222055643986,520.981709194642,521.25067879276,521.246136801706,521.2564,521.250635,521.245575933283,521.248583,521.244379927052
30,521.219536383979,520.961661424568,521.248673023021,521.244455606066,521.254,521.24727,521.241946319385,521.247643,521.243777079189
32,521.211720786142,520.945887992354,521.246409112307,521.23898283046,521.2532,521.24027,521.23880478835,521.246502,521.240659990798
