0.144423,0.412902
0.144296,0.410930
0.144224,0.413504
0.144181,0.413262
0.144476,0.412113
0.144272,0.412650
0.144305,0.413014
0.144381,0.414248
0.144343,0.413204
0.144562,0.412373
0.144459,0.413872
0.144293,0.412949
0.144543,0.414290
0.144174,0.412551
0.144396,0.412154
0.144431,0.414037
0.144567,0.412054
0.144454,0.413090
0.144534,0.413948
0.144877,0.414177
0.144213,0.412629
0.144279,0.412227
0.144471,0.411870
0.144306,0.412174
0.144197,0.412346
0.144091,0.411714
0.144069,0.415780
0.144426,0.415098
0.144743,0.412389
0.144286,0.414815
