0.619886,0.399003,0.555133,0.135460,0.371218,0.373202,0.033529,0.556942,0.001651,0.246352
0.619895,0.401392,0.555422,0.135466,0.371169,0.374341,0.036626,0.556962,0.000462,0.246757
0.619897,0.400311,0.555147,0.135364,0.371098,0.373925,0.036465,0.556891,0.006579,0.246335
0.619904,0.400461,0.555233,0.135382,0.371122,0.373512,0.035785,0.556916,0.001708,0.246414
0.619891,0.399425,0.555097,0.135282,0.371101,0.373155,0.036486,0.556938,0.003941,0.246180
0.619927,0.401012,0.555240,0.135451,0.371204,0.373789,0.033660,0.556948,0.005700,0.246366
0.619903,0.399653,0.555071,0.135355,0.371155,0.373121,0.036966,0.556908,0.000452,0.246264
0.619918,0.399587,0.555150,0.135635,0.371280,0.373390,0.033833,0.556993,0.008159,0.246364
0.619900,0.399812,0.555109,0.135429,0.371173,0.373469,0.034187,0.556969,0.005491,0.246636
0.619907,0.400660,0.555162,0.135506,0.371208,0.373589,0.031908,0.556957,0.001703,0.246424
0.619909,0.399804,0.555290,0.135462,0.371159,0.374444,0.034282,0.557024,0.006886,0.246718
0.619892,0.401195,0.555249,0.135168,0.371103,0.374138,0.032698,0.556935,0.008289,0.246412
0.619909,0.398590,0.555078,0.135211,0.371081,0.372847,0.032130,0.556952,0.000681,0.246442
0.619900,0.399111,0.555016,0.135398,0.371165,0.373018,0.033150,0.556951,0.003667,0.246448
0.619903,0.400793,0.555375,0.135420,0.371145,0.374290,0.037131,0.556959,0.006426,0.246377
0.619879,0.400999,0.555160,0.135279,0.371058,0.373707,0.033560,0.556875,0.004014,0.246580
0.619925,0.399919,0.555190,0.135646,0.371294,0.374267,0.035630,0.556965,0.003533,0.246484
0.619924,0.402264,0.555320,0.135648,0.371153,0.374165,0.038199,0.556917,0.000408,0.246387
0.619897,0.399689,0.555039,0.135442,0.371112,0.373564,0.035086,0.556886,0.007898,0.246155
0.619895,0.400857,0.555377,0.135464,0.371100,0.374227,0.036849,0.556956,0.002552,0.246500
0.619905,0.399746,0.555141,0.135467,0.371208,0.373324,0.036037,0.556939,0.000594,0.246451
0.619904,0.398427,0.554969,0.135366,0.371150,0.373555,0.035922,0.556921,0.001033,0.246372
0.619911,0.399830,0.555187,0.135417,0.371182,0.373715,0.034559,0.556927,0.001374,0.246482
0.619915,0.398965,0.555135,0.135460,0.371238,0.373105,0.031468,0.556963,0.001988,0.246454
0.619912,0.399491,0.555170,0.135516,0.371189,0.373275,0.036437,0.556913,0.006781,0.246585
0.619915,0.401589,0.555287,0.135403,0.371140,0.374282,0.036517,0.556939,0.000387,0.246764
0.619889,0.401621,0.555233,0.135270,0.371106,0.374388,0.037212,0.556901,0.005267,0.246412
0.619904,0.401010,0.555191,0.135457,0.371167,0.373602,0.033145,0.556926,0.004009,0.246431
0.619915,0.399949,0.555045,0.135324,0.371089,0.373336,0.033484,0.556964,0.003275,0.246287
0.619909,0.401192,0.555369,0.135453,0.371201,0.374130,0.035718,0.556950,0.014424,0.246202
