0.431076,0.299590,0.344259,0.000203,0.571234
0.431270,0.299656,0.345158,0.000164,0.571231
0.431725,0.299627,0.346028,0.000125,0.571253
0.431493,0.299674,0.345057,0.000390,0.571246
0.430926,0.299586,0.344146,0.000138,0.571215
0.430857,0.299555,0.343259,0.000335,0.571204
0.430200,0.299632,0.341758,0.000031,0.571218
0.430993,0.299558,0.345425,0.000067,0.571226
0.431593,0.299630,0.345149,0.000256,0.571213
0.430692,0.299587,0.343314,0.000722,0.571263
0.430987,0.299654,0.344054,0.000198,0.571278
0.431323,0.299568,0.344253,0.000272,0.571263
0.430859,0.299595,0.343627,0.000172,0.571223
0.431132,0.299641,0.344965,0.000264,0.571233
0.430685,0.299637,0.343913,0.000089,0.571226
0.431039,0.299768,0.344701,0.000480,0.571234
0.431078,0.299568,0.343992,0.000213,0.571224
0.431391,0.299556,0.346477,0.000324,0.571242
0.430905,0.299526,0.343340,0.000109,0.571209
0.430854,0.299546,0.343111,0.000366,0.571213
0.431322,0.299520,0.345552,0.000335,0.571228
0.430803,0.299651,0.344250,0.000309,0.571247
0.434016,0.299550,0.355474,0.000331,0.571239
0.431759,0.299601,0.345758,0.000229,0.571207
0.430782,0.299683,0.343275,0.000247,0.571233
0.430560,0.299657,0.342458,0.000582,0.571260
0.431033,0.299766,0.344138,0.000497,0.571247
0.431185,0.299595,0.343903,0.000267,0.571236
0.430821,0.299555,0.343040,0.000313,0.571218
0.430777,0.299632,0.343223,0.000115,0.571240
