CEC17,NT/KTFSELS40_fit,,NT/KTFSELS10_fit,,NT/KTFSELS20_fit,,NT/KTFSELS30_fit,,NT/KTFSELS40_fit,,NT/KTFSELS50_fit,,NT/KTFSELS10_fit,,NT/KTFSELS20_fit,,NT/KTFSELS30_fit,,NT/KTFSELS40_fit,,NT/KTFSELS50_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
CI_HS,0.0,6.741274205523951e-14,9.657830091214236e-14,1.4272671933213132e-10,9.880984919163894e-16,2.2104096331077015e-12,0.0004935162553600491,0.6493043317815477,0.0,6.741274205523951e-14,0.0003704589576182749,0.8625870685418559,win,win,win,win,tie,win,tie,tie,tie,tie
CI_MS,4.565250399934939e-10,0.0,3.567653381608693e-08,8.732570222491632e-13,1.3878591609284285e-09,0.0,5.84215076315786e-10,0.0,4.565250399934939e-10,0.0,4.4790811060124725e-10,0.0,win,win,win,tie,win,tie,tie,tie,tie,tie
CI_LS,20.795753974757748,2933.6120094112957,20.772786138376517,3200.9343104874656,20.78376759431772,2761.670877315829,20.752806558144094,2957.3855765315284,20.795753974757748,2933.6120094112957,20.773264624392656,2655.203045089026,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
PI_HS,198.6312908379554,0.04098997605895437,211.02427681822965,0.014951043909709647,185.3489046203586,0.03596332960737958,216.06839934511194,0.012218773494083015,198.6312908379554,0.04098997605895437,199.58250490639884,0.00024450717918164476,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
PI_MS,0.0019416452918118222,54.124471817843656,0.001316953413464872,48.87045166591506,0.00568465809825236,50.527546850341864,0.0021447014034508436,51.675153121967504,0.0019416452918118222,54.124471817843656,0.014415358637320064,50.420256335783876,lose,tie,tie,tie,tie,tie,tie,tie,tie,tie
PI_LS,0.0,0.0,0.22963842212849075,2.2202879122543706,0.19378910879449746,0.517138014492042,0.08791518691260106,0.9605262989002756,0.0,0.0,0.0,0.0,win,win,win,win,tie,tie,tie,tie,tie,tie
NI_HS,47.88281768685847,5.943873413034595e-05,52.84154445806513,4.9105902476458825,52.670131111193555,2.338479554369011,51.622846468856196,0.6965190058664213,47.88281768685847,5.943873413034595e-05,51.5973966616833,1.8397341800853588,tie,tie,tie,tie,tie,tie,tie,tie,win,win
NI_MS,0.008644155487373318,4.288173106072268,0.004879983044748459,4.833074290081379,0.005447601826490589,5.228030671627634,0.0035084951231565075,4.481353032042802,0.008644155487373318,4.288173106072268,0.0018518046144543165,4.355670032531753,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
NI_LS,249.8873605617145,3056.183550068189,219.33339367767607,3109.6276881952167,248.44568397091862,3077.398167150683,220.2786679471439,2821.1234231897347,249.8873605617145,3056.183550068189,250.89316031665462,2734.431559493568,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
w/t/l,,,6 | 11 | 1,,5 | 13 | 0,,2 | 16 | 0,,0 | 18 | 0,,2 | 16 | 0,,

CEC22,NT/KTFSELS40_fit,,NT/KTFSELS10_fit,,NT/KTFSELS20_fit,,NT/KTFSELS30_fit,,NT/KTFSELS40_fit,,NT/KTFSELS50_fit,,NT/KTFSELS10_fit,,NT/KTFSELS20_fit,,NT/KTFSELS30_fit,,NT/KTFSELS40_fit,,NT/KTFSELS50_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
Benchmark1,604.008473179061,604.7276309335341,609.3661899276747,609.4343568291895,605.3351865057272,605.9027568940471,604.2284815964955,604.5339843066588,604.008473179061,604.7276309335341,603.7109900104591,604.6733431283458,win,win,win,tie,tie,tie,tie,tie,tie,tie
Benchmark2,700.0532992521955,700.0124050959369,700.0434284514678,700.0107209577154,700.0077492224493,700.0029530170137,700.013570361449,700.0033963452906,700.0532992521955,700.0124050959369,700.0098951701244,700.0049324784966,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
Benchmark3,432323.53866777185,241081.9518008837,284181.7287603247,349837.91888635966,310802.98815097316,433401.73216197424,332669.5256814751,383632.74256524554,432323.53866777185,241081.9518008837,354552.92190662894,385069.9480586303,tie,win,tie,win,tie,win,tie,tie,tie,win
Benchmark4,1300.4754415472569,1300.4103459806213,1300.480143559888,1300.4044582716992,1300.4686032763761,1300.4282882988664,1300.4835254612588,1300.3816334463033,1300.4754415472569,1300.4103459806213,1300.4364744496138,1300.394211027226,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
Benchmark5,1526.7932128172033,1525.7675531019945,1526.2123851807498,1530.235819430148,1525.005671668991,1528.618158505123,1525.3874632322122,1527.7020925025738,1526.7932128172033,1525.7675531019945,1524.3019011843346,1528.7796775027418,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
Benchmark6,298572.8451768769,205649.91661997343,274779.1661359232,200082.69956231705,272224.9989841581,179243.2298524138,267675.8425200389,227703.4428274782,298572.8451768769,205649.91661997343,309444.03529106005,227302.4599527737,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
Benchmark7,3066.2911626563728,3171.561608095096,3006.6173773256946,3198.87754602947,2957.066217688819,3291.9747246719717,3155.0146830725216,3084.027543608067,3066.2911626563728,3171.561608095096,3238.162548173796,3097.8052180368213,tie,tie,tie,tie,tie,tie,tie,tie,tie,tie
