,MKTDE_fit,,MFEAOriginal_fit,,MFEAOriginal_fit,,
,T1,T2,T1,T2,T1,T2,
CI_HS,0.00038285,1.5637586999999997,0.36035324771742516,209.65940623412956,win,win
CI_MS,0.0,0.0,4.609133476510529,214.0255441202455,win,win
CI_LS,21.16554,11903.957772400001,20.14246870287051,3692.51453919333,lose,lose
PI_HS,353.03929655,0.3460702,588.5628760492784,8.990692156862671,win,win
PI_MS,0.0040571999999999995,74.6702583,3.7090017266463824,650.745868218124,win,win
PI_LS,4.01951195,1.1275688999999998,20.008183597752335,20.7536738148138,win,win
NI_HS,46.040448149999996,4.446466050000001,883.9747962768095,261.71392537855195,win,win
NI_MS,0.0076891,1.6687489,0.42857341586857317,27.989111559789347,win,win
NI_LS,428.78556085,1895.3240684500001,605.8951951210302,3701.3216853224067,win,win
Benchmark1,605.5274273,605.6663592500001,646.2474717057479,646.8467436455124,win,win
Benchmark2,700.0644869,700.06515915,701.0731237822986,701.0723349335027,win,win
Benchmark3,6945968.512112449,6309901.898550701,3349002.4641800234,3575597.630282136,lose,lose
Benchmark4,1300.6575883,1300.5961691500002,1300.6128414036157,1300.4730516139052,tie,lose
Benchmark5,1535.46509905,1535.7826730000002,1563.7369661220155,1551.6858446019824,win,win
Benchmark6,20391936.03014015,17996444.2256377,1612687.738944685,1407595.4415531228,lose,lose
Benchmark7,4204.6164765,4327.246267050001,3320.671496383652,3182.4092659393555,lose,lose
Benchmark8,521.2009004500002,521.1999454500001,520.2445039552298,520.2765149677755,lose,lose
Benchmark9,14858.263433249998,1622.63114605,8382.456344631377,1621.7414558453322,lose,lose
Benchmark10,74332.2859907,24722322.444241755,30101.11357344609,2918946.7867250545,lose,lose
w/t/l,,,22 | 1 | 15,,
