CEC17,KTFSELS20_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
CI_HS,9.880984919163894e-16,2.2104096331077015e-12,0.36035324771742516,209.65940623412956,0.3689480911985966,195.61599870061337,0.00227465,59.79824145000001,0.11318675438144817,157.44908252128928,0.018005686503563323,72.12891791051005,0.011797257045659332,10.67334444712013,0.0445829,117.74409920000001,0.00038285,1.5637586999999997,win,win,win,win,win,win,win,win,win,win,win,win,win,win,tie,tie
CI_MS,1.3878591609284285e-09,0.0,4.609133476510529,214.0255441202455,3.957252370670615,195.62924195384204,0.10261390000000001,0.65770105,1.0834446853471746,128.46585315648298,1.3026938343043555,72.58635704572893,0.002073726404260001,0.0036021099147555804,0.339009,112.26868759999998,0.0,0.0,win,win,win,win,win,win,win,win,win,win,win,win,win,win,lose,tie
CI_LS,20.78376759431772,2761.670877315829,20.14246870287051,3692.51453919333,20.13536893554072,3335.5498202445683,21.212883299999998,12254.047149150001,21.209620777354864,10256.461841503304,21.207600260966412,5363.687733119933,21.216693083377287,7992.035935309934,21.17486855,6366.2940433,21.16554,11903.957772400001,lose,win,lose,tie,win,win,win,win,win,win,win,win,win,win,win,win
PI_HS,185.3489046203586,0.03596332960737958,588.5628760492784,8.990692156862671,457.6493631099173,3.8294778779888317,411.24730775,0.15594000000000002,439.72887499474484,3.3662135248957616,65.57287224177679,0.003375999786953634,5.308689294238889e-05,1.2294944302438256e-06,137.55783839999998,0.29473135,353.03929655,0.3460702,win,win,win,win,win,tie,win,win,lose,lose,lose,tie,tie,win,win,win
PI_MS,0.00568465809825236,50.527546850341864,3.7090017266463824,650.745868218124,3.376377489904125,710.0459509743507,0.03366480000000001,87.85922434999999,0.15397483315418173,95.89224985710185,0.5077699164303844,110.87866631775816,0.004998448348707463,112.93436405600426,0.56281865,79.0125659,0.0040571999999999995,74.6702583,win,win,win,win,tie,win,win,win,win,win,tie,win,win,win,tie,win
PI_LS,0.19378910879449746,0.517138014492042,20.008183597752335,20.7536738148138,12.988678085063862,13.039348730993314,0.58600045,0.08396525000000002,13.577766804595456,9.268476277181758,2.205146783849844,2.781318062017048,0.00013866311148609257,0.009191628787081171,2.31797865,2.5009437500000002,4.01951195,1.1275688999999998,win,win,win,win,win,tie,win,win,win,win,tie,tie,win,win,win,win
NI_HS,52.670131111193555,2.338479554369011,883.9747962768095,261.71392537855195,1302.523017578058,282.29076158083916,91.3479721,78.16056465,362.65556996099565,312.022540432686,160.14984054530535,75.48768637755614,89.52225491474135,114.14704911090442,142.9569783,130.60214170000003,46.040448149999996,4.446466050000001,win,win,win,win,win,win,win,win,win,win,win,win,win,win,lose,win
NI_MS,0.005447601826490589,5.228030671627634,0.42857341586857317,27.989111559789347,0.2670295249834566,25.883075428606112,0.019825950000000002,4.290437949999999,0.27205896032715915,9.109520140228076,0.010260945573247698,12.15592664678858,0.0007340493148036198,6.35233485296296,0.0944209,3.8997688999999993,0.0076891,1.6687489,win,win,win,win,tie,tie,win,win,win,win,tie,tie,win,lose,tie,lose
NI_LS,248.44568397091862,3077.398167150683,605.8951951210302,3701.3216853224067,474.90654920524423,3364.2874023085424,424.4570548,11319.9485365,454.5526988343008,14762.337960201923,300.5403065681001,4582.806006291733,467.23925064719896,9861.049553010878,331.61803075,1627.6156517999998,428.78556085,1895.3240684500001,win,win,win,tie,win,win,win,win,tie,win,win,win,tie,lose,win,lose
w/t/l,,,17 | 0 | 1,,15 | 2 | 1,,13 | 5 | 0,,18 | 0 | 0,,15 | 1 | 2,,11 | 6 | 1,,14 | 2 | 2,,9 | 5 | 4,,

CEC22,KTFSELS20_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
Benchmark1,605.3351865057272,605.9027568940471,646.2474717057479,646.8467436455124,645.6604198640034,646.2262391657447,606.1654312,606.2596449499999,619.9733888346565,620.1438990024426,620.5046921854984,620.229194497915,609.2779636865667,609.4606347879017,617.13844295,614.8907563500001,605.5274273,605.6663592500001,win,win,win,win,tie,tie,win,win,win,win,win,win,win,win,tie,tie
Benchmark2,700.0077492224493,700.0029530170137,701.0731237822986,701.0723349335027,700.9874892370506,701.0129787624697,700.0471686000001,700.0214768499999,700.8277492286055,700.8017545675797,700.1055799435461,700.0945977043328,700.0018268074444,700.0008170816487,700.51337205,700.5510224500001,700.0644869,700.06515915,win,win,win,win,tie,win,win,win,win,win,tie,tie,win,win,win,win
