CEC17,KTFSELS_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
Benchmark2,7.00E+02,7.00E+02,7.01E+02(+),7.01E+02(+),7.01E+02(+),7.01E+02(+),7.00E+02(=),7.00E+02(=),7.01E+02(+),7.01E+02(+),7.00E+02(+),7.00E+02(+),7.00E+02(=),7.00E+02(-),7.01E+02(+),7.01E+02(+),7.00E+02(+),7.00E+02(+),win,win,win,win,tie,tie,win,win,win,win,tie,lose,win,win,win,win,
Benchmark3,4.54E+05,3.63E+05,3.35E+06(+),3.58E+06(+),2.38E+06(+),2.74E+06(+),7.73E+06(+),7.28E+06(+),2.10E+07(+),1.95E+07(+),1.90E+06(+),2.29E+06(+),5.28E+07(+),4.18E+07(+),3.89E+06(+),2.91E+06(+),6.95E+06(+),6.31E+06(+),win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,
Benchmark4,1.30E+03,1.30E+03,1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(=),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(-),1.30E+03(=),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),win,win,win,tie,win,win,win,win,lose,tie,win,win,win,win,win,win,
Benchmark5,1.53E+03,1.52E+03,1.56E+03(+),1.55E+03(+),1.54E+03(+),1.54E+03(+),1.53E+03(+),1.53E+03(+),1.54E+03(+),1.54E+03(+),1.51E+03(-),1.51E+03(-),1.53E+03(+),1.53E+03(+),1.54E+03(+),1.54E+03(+),1.54E+03(+),1.54E+03(+),win,win,win,win,win,win,win,win,lose,lose,win,win,win,win,win,win,
Benchmark6,2.71E+05,1.87E+05,1.61E+06(+),1.41E+06(+),1.50E+06(+),1.30E+06(+),2.18E+06(+),2.09E+06(+),9.23E+06(+),9.25E+06(+),1.30E+06(+),6.39E+05(+),2.16E+07(+),2.27E+07(+),1.43E+06(+),1.25E+06(+),2.04E+07(+),1.80E+07(+),win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,
Benchmark7,3.14E+03,3.15E+03,3.32E+03(=),3.18E+03(=),3.19E+03(=),3.33E+03(=),3.86E+03(+),3.89E+03(+),4.10E+03(+),4.14E+03(+),2.80E+03(-),2.85E+03(-),4.33E+03(+),4.38E+03(+),2.98E+03(=),3.07E+03(=),4.20E+03(+),4.33E+03(+),tie,tie,tie,tie,win,win,win,win,lose,lose,win,win,tie,tie,win,win,
Benchmark8,5.21E+02,5.21E+02,5.20E+02(-),5.20E+02(-),5.20E+02(-),5.20E+02(-),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),lose,lose,lose,lose,win,win,win,win,win,win,win,win,win,win,win,win,
Benchmark9,8.80E+03,1.62E+03,8.38E+03(=),1.62E+03(=),7.77E+03(-),1.62E+03(=),1.50E+04(+),1.62E+03(+),1.48E+04(+),1.62E+03(+),7.54E+03(-),1.62E+03(-),1.49E+04(+),1.62E+03(+),9.28E+03(=),1.62E+03(+),1.49E+04(+),1.62E+03(+),tie,tie,lose,tie,win,win,win,win,lose,lose,win,win,tie,win,win,win,
Benchmark10,1.50E+04,4.38E+05,3.01E+04(+),2.92E+06(+),3.63E+04(+),2.14E+06(+),2.55E+04(+),2.24E+06(+),5.04E+04(+),1.07E+07(+),1.65E+04(=),1.76E+06(+),7.68E+04(+),2.07E+07(+),4.25E+04(+),2.35E+06(+),7.43E+04(+),2.47E+07(+),win,win,win,win,win,win,win,win,tie,win,win,win,win,win,win,win,
w/t/l,,,14 | 4 | 2,,13 | 4 | 3,,16 | 4 | 0,,20 | 0 | 0,,11 | 2 | 7,,18 | 1 | 1,,17 | 3 | 0,,18 | 2 | 0,,
