# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,73445.8390957734,30961.1552875754,32024.5384925904,70116.2182908359,91297.1780581214,70116.2182908359,29842.2322664493
2,4609.09160223664,4086.50328981929,4455.35676773706,6681.350778,5705.25329500684,6974.721401,6032.16037100349
4,4041.13439785266,3649.61542540594,4174.5218718861,5518.463301,5519.89245365384,5866.671424,5582.01331198102
6,3525.71053083036,3480.67629561463,4021.86992817216,5261.576057,5402.18548611835,5517.321059,5343.5986490154
8,3253.48464291519,3430.65431244561,3925.01362789843,5074.224049,5273.2873667961,5356.879969,5183.6597837218
10,3172.4489287673,3411.18655530225,3860.44446173485,4995.845928,5180.09460143708,5238.102726,5095.59476935624
12,3155.92617172492,3401.43454238486,3807.69606645391,4898.487605,5066.73347511747,5159.405819,4962.88004559956
14,3152.54946962858,3396.94898248969,3780.19729007056,4759.723495,5009.79460426251,5122.491155,4774.28712811947
16,3151.54245600028,3395.27503679006,3748.04997307894,4700.638786,4925.63996535609,5030.584622,4686.08504959296
18,3151.33194260002,3394.57733209607,3734.43410347798,4642.386682,4898.0936614782,4995.424976,4616.0059794191
20,3151.22879433739,3394.15142154542,3721.09964373174,4600.772589,4865.50212767867,4957.882868,4532.72276637771
22,3151.16549014916,3393.26622207708,3713.12091478668,4560.969013,4818.3138727118,4924.455154,4440.84688121332
24,3151.13587920131,3392.71259080584,3706.79312891878,4542.193448,4774.61229217603,4841.362806,4381.36726916319
26,3151.11673732064,3392.49762016626,3702.99364891422,4530.657955,4706.86434525677,4792.812093,4324.14918148802
28,3151.10117376448,3392.11059221445,3699.57520843826,4509.057492,4685.94494971408,4764.489268,4198.50984673853
30,3151.08792213548,3392.00261414207,3696.46244799077,4506.594525,4660.02391381622,4727.167551,4145.95332117105
32,3151.07992962281,3391.66985078541,3693.88591343082,4446.576837,4620.06424279354,4711.756688,4086.69092245467
34,3151.0733633152,3391.59581570189,3689.79718789614,4428.781565,4605.3750008373,4693.1342,4045.54099171597
36,3151.06894995961,3391.52330494426,3687.74931896612,4417.509468,4602.02563540529,4677.449805,3978.34559817182
38,3151.06676217891,3391.376347148,3685.47109665486,4404.45011,4596.10842358792,4675.974892,3905.73369058994
