# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,94747.8795625531,44297.7764510468,67580.0129060518,76393.0071575902,74005.983095441,76393.0071575902,49201.0343477443
2,4595.45316644211,4171.75485515053,4662.89996047502,6429.868358,5666.27133618913,6973.198814,6070.60966977887
4,4005.65506832704,3743.1937080513,4416.35208843465,5655.116882,5427.25324931797,6097.073489,5643.03445745414
6,3597.27424664322,3558.46158833833,4266.15605161268,5293.095506,5247.36340067542,5616.603334,5323.95348787912
8,3354.65578691506,3472.43469205143,4145.62719269946,5041.323663,5119.53843728548,5458.602316,5093.82920434855
10,3193.90582886632,3441.62054526885,4093.91805627916,4828.416709,4983.6333129389,5362.046748,4994.50566977553
12,3156.43347380615,3426.34010605994,4036.63796567058,4739.377245,4868.79345418943,5240.132036,4795.14389636779
14,3142.28405923319,3419.31986578166,4000.92725801664,4661.687549,4815.50598120799,5167.605119,4718.1666536344
16,3124.68198730898,3416.05256017138,3973.13077878249,4569.348863,4804.17248908335,5105.656522,4653.13650423139
18,3122.97452700636,3413.79111366848,3956.69353953182,4507.593205,4788.40508492309,5052.084341,4575.17435894249
20,3122.42506020319,3412.11745311083,3946.2550163909,4499.44541,4758.11989307168,4971.383088,4501.34638536497
22,3122.22898220875,3410.3137566506,3936.68420671743,4451.993979,4703.98836182342,4950.880898,4407.17522619422
24,3122.15885147681,3408.82202198892,3931.15542069989,4434.710143,4678.90802783263,4866.198308,4318.10280393103
26,3122.11650877043,3408.10225564269,3926.22499597193,4412.471814,4662.44834446804,4830.020887,4243.94137510064
28,3122.09169340024,3407.59982168839,3922.47796833088,4388.891496,4623.13552376508,4774.26681,4157.19209380589
30,3122.06606176327,3407.19685666075,3918.57776751795,4369.350046,4586.48196546263,4745.983907,4134.31236352508
32,3122.05221415383,3406.53777337909,3915.86341257622,4362.610681,4554.6356438342,4696.413899,4043.07783424829
34,3122.04205868913,3406.29256178418,3912.88271123314,4341.445686,4514.43048425495,4679.992565,3936.45956227138
36,3122.03233131512,3406.18708464805,3910.81235997043,4306.512294,4509.84109920939,4669.051449,3863.67807873604
38,3122.02429053472,3406.06655228242,3908.59244953848,4292.967827,4496.31219880571,4654.369324,3781.04018446078
40,3122.01717046918,3405.91761632758,3906.59729214603,4279.579741,4493.4106445026,4622.122567,3705.06266426744
42,3122.01330102413,3405.68166851208,3904.17565342362,4273.146337,4493.4106445026,4618.433176,3650.43047363065
44,3122.00918592251,3405.49608790668,3901.9837921137,4268.842616,4475.60577644483,4605.941123,3594.33176784524
46,3122.00318492356,3405.28943715965,3899.60660591185,4248.631845,4454.95455977285,4572.833746,3558.44853477584
48,3121.99921235141,3404.82611664815,3897.95390825641,4242.913771,4446.20581104608,4541.326549,3496.72996474235
50,3121.99754083668,3404.73085239151,3895.77349753542,4240.949648,4446.20581104608,4539.246344,3439.71127632773
52,3121.99570495675,3404.68778623148,3894.10673123416,4240.011099,4436.46704519832,4518.88625,3413.37856200543
54,3121.99347815768,3404.63402600766,3891.73603498789,4240.011099,4413.95897766604,4514.52724,3356.36961688311
56,3121.9905655343,3404.6140848504,3889.83511938158,4237.902725,4406.54078753596,4514.52724,3272.96181839884
58,3121.98785134129,3404.56603451414,3888.07978610794,4218.641519,4406.54078753596,4492.890966,3230.58042432826
60,3121.98530986837,3404.53683160703,3886.36724048406,4204.141044,4393.26710946069,4490.232596,3188.84534052889
62,3121.98268840161,3404.52634280142,3884.85656227069,4204.141044,4358.4358897151,4481.307082,3144.30932584033
64,3121.97992223098,3404.47345194627,3883.10760601067,4182.117882,4358.4358897151,4457.85545,3107.78435481086
66,3121.97754253255,3404.42766153519,3881.78581191727,4180.652661,4358.4358897151,4446.938432,3086.93059467116
68,3121.97215650202,3404.16265218389,3880.18436723036,4180.652661,4356.78153423935,4446.938432,3063.98597449436
70,3121.97017099334,3404.13009637986,3878.87236110555,4177.278265,4344.66896250448,4446.938432,3050.60072648635
72,3121.96777731637,3404.09554758163,3877.11433697487,4165.51811,4344.66896250448,4446.938432,3030.57829160362
74,3121.96592475286,3404.05002520829,3875.71041152759,4160.18377,4334.84170061186,4436.509396,3018.94019924602
76,3121.96328101601,3404.03571285376,3874.22266423102,4159.260822,4325.25818570363,4427.610229,3002.87961988526
78,3121.95826050359,3403.82349888601,3872.32525847239,4149.630635,4301.07392190411,4424.032518,2995.97171495348
80,3121.95413523946,3403.79438566728,3871.43501473623,4149.630635,4301.07392190411,4416.74787,2988.93516234785
82,3121.95199853014,3403.75849881581,3869.78346213071,4141.202423,4289.80030907937,4408.532131,2976.22879694084
84,3121.948681587,3403.69859341302,3868.56263514142,4138.375344,4285.86900411334,4408.532131,2972.70227334462
86,3121.9462301401,3403.66895924573,3867.08472731731,4124.445989,4285.86900411334,4402.956545,2970.8041427252
88,3121.94497058185,3403.65520688065,3866.14616673977,4124.445989,4263.2154626519,4377.655835,2967.26813722275
90,3121.94313567741,3403.65230235682,3864.66025324172,4124.445989,4262.46682851533,4373.09355,2965.1915781476
92,3121.93940397836,3403.65036834283,3863.50662614996,4117.026004,4262.46682851533,4367.976638,2959.75413539196
94,3121.93655512927,3403.61906518966,3861.96610454713,4104.089793,4262.46682851533,4362.810493,2957.86911509605
96,3121.93207972346,3403.61710549025,3860.75803869855,4104.089793,4252.03652871118,4362.810493,2957.22064718322
98,3121.92695466051,3403.61111159722,3859.44322030332,4104.089793,4245.52203349555,4344.59052,2955.70224186183
100,3121.92604812364,3403.60532961853,3858.21348543251,4094.916828,4245.52203349555,4330.112842,2952.10462732653
