# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,15582899.0241551,14632294.6008108,14622434.5955677,17704972.2629616,28141120.407258,17704972.2629616,10736966.7061889
2,402492.042536473,366598.646717432,134123.782037942,1443639.805591,811160.487394586,1540402.349351,962298.422177877
4,168478.142321015,243298.619778602,93486.1074146667,1078615.11418,510668.850527264,845103.317308,770056.031821684
6,95171.4740828279,176823.423637262,83632.4052782701,738192.265226,414472.768793679,617763.08161,608323.578376922
8,79949.403712843,145455.296810333,75593.5132154962,433709.173882,333781.046092481,475369.323494,503645.146529723
10,57307.6730809289,123739.858704245,73965.7300955596,352611.196434,276401.155190212,406362.190108,370092.709843684
12,53426.8012151278,113047.584070247,72429.0820995643,315336.462018,251483.997908468,375203.914642,305992.959431936
14,50156.2512286849,102608.137047383,71366.8078567617,279917.399982,222012.910324719,328716.155359,256200.681463287
16,46368.7699257794,97472.3939558244,69902.8772608777,251043.583363,216471.715341565,295546.712538,221103.351785229
18,41635.2241187602,91738.3016484888,68909.8135415532,234836.45004,187957.20666719,279688.30202,203531.83280922
20,39479.6041519357,86135.932570207,67779.7970780647,204926.732423,176138.164658504,251553.387524,185112.220039631
22,37233.6900152271,81135.7674298118,67338.3989202162,181321.246308,167869.378011459,243532.416466,158655.855046591
24,35464.3238010615,76812.7125797357,66380.4187204847,167692.573718,160115.279338085,225951.125842,153182.039935855
26,34377.6409291394,73943.3883815382,65626.9345428338,157675.817277,148498.374784846,211714.902608,135799.177459107
28,32733.302652698,72072.5488773244,65115.3640746153,147151.311773,145652.872721203,205990.057332,133377.38027697
30,31564.5589817626,69078.8432480853,64027.5438756029,137498.039668,142565.368482047,193026.495901,118037.558791673
32,29550.7131132405,67955.8118407693,63463.2634846221,126680.670917,137353.112156118,189630.585399,105436.978931601
34,27918.5222260723,66928.1003533737,63121.0789293354,122201.039579,132342.026686433,161586.274773,100641.649091899
36,26164.9180748208,66248.3526131751,62448.7326996874,119963.092911,131810.645053116,152279.597411,99060.2034711182
38,25476.0342230651,64184.3646211878,61935.3698140702,111047.369863,129806.119829031,143455.961278,92124.3279370268
40,24573.2499385827,63268.5309801424,61601.4051968745,106973.047709,124371.686099942,135853.969765,84375.1642210093
42,23543.90331668,62166.2586119257,61068.719471087,103525.87974,121180.751763497,129011.244778,75762.7709788535
44,22696.9827853004,60404.422787567,60803.3371021993,92520.786322,117239.23999304,124763.052733,74689.1491011472
46,21766.1156401655,59777.234484742,60326.3513191969,90295.398746,110335.282563009,115083.204072,67691.1190328406
48,21169.1153930926,58730.1833112047,59975.7713124771,84650.358738,105505.453015129,110909.063816,60995.9651080713
50,19970.4210532543,58457.1718849111,59742.987497565,84650.358738,104370.21931345,104391.47891,60231.7393085789
52,19404.4641977714,57655.2897114637,59379.8960509368,83736.590473,99616.4977249137,100273.934478,59418.7731394649
54,19171.8849046208,57269.266044533,59064.1592005026,81465.652918,99488.625515737,100110.240755,57041.4211894976
56,18503.720310308,56688.5534688657,58618.7737035473,78524.142166,96573.4125422479,98989.414792,55874.5110438012
58,17630.6077927381,56079.8230808255,58399.5941969205,72631.596722,95074.3256940261,98235.101506,55022.7755914916
60,17220.9626834497,55667.581909098,57885.5717991819,72186.869837,92126.6760153172,95790.609996,52765.8894334457
62,16182.3994169415,55255.9821936986,57540.1868852108,72186.869837,85926.7791853113,93914.426663,51464.6889405745
64,15496.8657669684,54499.5335068475,57198.7820668831,68372.826668,83729.3276788694,93174.395026,50807.843148807
66,14790.9027575058,54397.5837088964,56903.294770857,68075.704651,81262.5042409511,92128.85441,50555.2405007072
68,13949.9315765047,53640.1196687595,56495.5321014296,65741.378176,78204.5291107594,91548.820296,50124.0084125901
70,13392.6042015318,53385.4239136066,56234.2768265072,64500.623028,77936.5498067236,91320.291897,48083.676277651
72,13156.715371186,52804.1895259415,56009.9006374661,64500.623028,77936.5498067236,88655.798129,47432.4128737622
74,12575.8477107063,52236.5517147678,55548.639458534,63267.900719,76402.818387905,87340.867541,46960.8101544732
76,12101.6166402776,51831.3544619698,55263.3277966532,61401.773042,76402.818387905,85944.769006,46425.2615174463
78,11545.2431025345,51385.538927227,55007.4336272079,61138.164607,75571.682064493,85383.289215,45178.4588915658
80,11065.377564386,50643.1556182505,54711.537672653,61138.164607,73648.8827808886,85029.879124,44833.9468823104
82,10674.576962886,50383.431615296,54459.8744032227,61138.164607,73327.9893792973,84213.706749,44156.6687938806
84,10495.272652401,49846.9567709213,54233.8427119557,59679.176786,72743.114729962,80559.999595,43347.7651221198
86,10313.9949566615,49665.217055909,54041.5800357812,58746.425161,71618.4343819416,78858.084384,42902.469910235
88,9976.71605715369,49362.4150702534,53773.1806256799,58534.6279,70181.3515352386,78858.084384,41472.239532966
90,9855.51147267141,49026.6273341324,53334.641188919,57979.082884,70181.3515352386,78858.084384,39851.6021672696
92,9584.8182486032,48909.8293563599,53198.5968755257,57570.916754,70181.3515352386,77554.913437,39492.0900720705
94,9402.2381288465,48699.5276834471,52896.9639435859,57477.866082,68030.7087750163,77554.913437,39012.6559546657
96,9123.01542830306,48318.6358773444,52721.1966006393,57065.180348,68030.7087750163,77554.913437,38405.5919612602
98,8850.76403817061,48056.047613877,52508.6283263603,56501.732686,66509.15465655,77554.913437,37999.9349336501
100,8559.87317391154,47993.3480184358,52353.1887825047,55663.362754,66493.468107925,77554.913437,37708.3835105395
