# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,44208.3029416046,30961.1552875754,32024.5384925904,70116.2182908359,91297.1780581214,70116.2182908359,29842.2322664493
2,4756.87944414536,4086.50328981929,4455.35676773706,6681.350778,5705.25329500684,6974.721401,6032.16037100349
4,4272.13571381451,3649.61542540594,4174.5218718861,5518.463301,5519.89245365384,5866.671424,5582.01331198102
6,3930.70743000121,3480.67629561463,4021.86992817216,5261.576057,5402.18548611835,5517.321059,5343.5986490154
8,3600.77036242035,3430.65431244561,3925.01362789843,5074.224049,5273.2873667961,5356.879969,5183.6597837218
10,3361.16093352702,3411.18655530225,3860.44446173485,4995.845928,5180.09460143708,5238.102726,5095.59476935624
12,3214.62980253268,3401.43454238486,3807.69606645391,4898.487605,5066.73347511747,5159.405819,4962.88004559956
14,3143.58095348914,3396.94898248969,3780.19729007056,4759.723495,5009.79460426251,5122.491155,4774.28712811947
16,3110.35564446983,3395.27503679006,3748.04997307894,4700.638786,4925.63996535609,5030.584622,4686.08504959296
18,3080.61450440635,3394.57733209607,3734.43410347798,4642.386682,4898.0936614782,4995.424976,4616.0059794191
20,3004.18093699879,3394.15142154542,3721.09964373174,4600.772589,4865.50212767867,4957.882868,4532.72276637771
22,2987.67537453971,3393.26622207708,3713.12091478668,4560.969013,4818.3138727118,4924.455154,4440.84688121332
24,2984.45313810647,3392.71259080584,3706.79312891878,4542.193448,4774.61229217603,4841.362806,4381.36726916319
26,2982.85512609401,3392.49762016626,3702.99364891422,4530.657955,4706.86434525677,4792.812093,4324.14918148802
28,2982.02620554,3392.11059221445,3699.57520843826,4509.057492,4685.94494971408,4764.489268,4198.50984673853
30,2981.43695640677,3392.00261414207,3696.46244799077,4506.594525,4660.02391381622,4727.167551,4145.95332117105
32,2981.22481518573,3391.66985078541,3693.88591343082,4446.576837,4620.06424279354,4711.756688,4086.69092245467
34,2981.05548963756,3391.59581570189,3689.79718789614,4428.781565,4605.3750008373,4693.1342,4045.54099171597
36,2980.98469602687,3391.52330494426,3687.74931896612,4417.509468,4602.02563540529,4677.449805,3978.34559817182
38,2980.9175534433,3391.376347148,3685.47109665486,4404.45011,4596.10842358792,4675.974892,3905.73369058994
40,2980.85579949672,3391.31616299094,3683.50071938964,4396.123003,4596.10842358792,4656.416862,3827.74729028449
42,2980.81451669733,3391.26319549123,3681.46848693988,4390.179694,4594.14110693695,4647.265409,3733.12974757297
44,2980.77626086309,3391.21518287271,3679.59685323991,4358.359513,4574.6176360418,4629.320263,3691.46830916773
46,2980.7382101587,3391.13410681505,3678.13289722969,4345.125724,4559.30245345043,4601.240433,3656.85261177231
48,2980.7097778897,3391.10756694153,3676.63762009178,4337.939395,4543.69950197134,4579.75518,3620.08073587115
50,2980.69360007746,3390.98167636778,3675.11128698443,4301.58828,4543.69950197134,4574.855671,3598.60680306828
52,2980.6788732155,3390.88602841963,3673.62864335707,4295.730446,4536.93239557411,4532.496711,3540.79989591662
54,2980.6647171672,3390.83024370436,3672.46595422697,4289.11111,4536.93239557411,4506.288287,3494.07514882225
56,2980.65444842427,3390.7373104315,3671.04338249094,4270.790621,4536.08355315224,4488.619192,3468.37951860965
58,2980.64491942089,3390.71636637017,3669.74583601949,4269.655501,4509.84191752485,4475.205436,3439.18204224946
60,2980.63371519305,3390.67258111203,3668.3427204091,4269.655501,4493.03237346035,4475.205436,3376.18292951368
62,2980.62261404084,3390.53026391178,3667.3323519223,4256.908942,4488.54230855718,4468.174712,3339.07809848503
64,2980.61162325758,3390.48411575295,3665.93970959887,4250.73177,4488.54230855718,4445.881778,3301.62060913589
66,2980.6049062793,3390.44580648342,3664.65880023842,4238.608806,4485.98091400484,4429.976538,3268.41183431959
68,2980.60048905115,3389.94017217047,3663.32609007511,4238.608806,4462.29600893109,4415.068877,3237.60701903415
70,2980.59645156922,3389.75809082666,3662.25473016686,4234.958078,4445.73794215263,4404.55851,3195.71484008349
72,2980.59376567236,3389.66505631456,3661.02870916444,4226.421996,4424.50952455089,4403.845937,3183.40443711494
74,2980.59136271932,3389.62029286041,3659.8787449715,4226.421996,4416.95229322001,4385.262195,3167.01737549106
76,2980.58886676335,3388.37055925455,3658.98429187849,4209.976807,4404.33490940686,4376.88449,3151.79904860093
78,2980.58613941431,3380.7016010571,3657.84614097875,4189.327325,4389.74384742716,4376.88449,3131.7446847496
80,2980.58380148582,3377.86306080403,3656.79081309798,4186.707703,4339.5933391928,4376.88449,3121.94030600293
82,2980.58034599003,3376.73920988419,3655.4235184168,4162.50267,4338.26025594162,4354.479585,3109.99397369647
84,2980.57751126396,3376.07873011389,3654.47707332034,4161.783699,4338.26025594162,4343.220034,3106.22987163689
86,2980.5752274483,3375.87552146664,3653.55162617741,4149.662655,4324.07292392905,4343.220034,3101.48523543149
88,2980.57355859247,3375.76848964642,3652.58326510804,4149.662655,4289.87793002814,4332.572977,3098.61564360316
90,2980.57059512415,3375.66276931837,3651.42678526308,4149.662655,4278.84049309102,4330.888033,3095.76865421722
92,2980.56833093122,3375.57112871678,3650.58886205135,4138.44758,4278.84049309102,4326.285892,3092.98579160433
94,2980.56607455761,3375.4844117726,3649.51368572242,4134.767104,4257.4269791142,4326.285892,3091.44631292426
96,2980.56438983585,3375.37113925651,3648.72578579539,4133.969154,4257.29237076369,4326.285892,3088.72243819358
98,2980.56210229806,3375.22944007117,3647.69491219622,4126.939199,4248.83837706382,4296.473514,3087.66112884518
100,2980.56045512963,3375.05845636137,3646.71668011221,4126.939199,4243.92594980237,4278.645618,3086.64734250408
