# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,620835966.089128,569673078.507829,627173468.538586,749085691.083454,707601919.195258,749085691.083454,564002588.22749
2,41676153.4216449,49298422.0795739,8938994.66422703,203210318.841293,63551268.4183458,239868243.919766,167549533.156797
4,11934472.5388487,29383154.6563519,5379253.71108671,138433201.68888,38150247.7698143,158331490.388601,148357093.629863
6,5831712.91236286,21320522.1322312,4910963.41489975,106036255.509838,28429062.42853,148862217.236327,133032374.443256
8,3970569.46559072,18471191.2736438,4686908.11037157,89127706.802667,23321179.8825843,138030778.208134,110152247.430611
10,2916583.17823322,16234963.2199059,4617152.05125877,78297221.133347,21312717.999389,122071708.783231,101690411.745797
12,2346566.66523891,14821562.4589647,4550543.81300706,72087558.700689,19736555.5171884,120294006.14372,92537731.9206064
14,1993801.96374943,13856417.4967918,4511116.65448923,65353616.250328,19070195.750004,114929219.352137,87539653.7942311
16,1771569.38292256,13002438.6150216,4479767.37304506,62511168.957479,17908550.8203642,113120667.175748,73317098.7390142
18,1585099.88388431,12340657.64834,4469373.51310088,58195235.133252,17121417.0990397,108940246.354377,66745279.8076043
20,1416135.63247853,11773194.908995,4447450.52721631,56866670.678021,16231109.5002864,106416810.999658,55185400.9592796
22,1302546.76795768,11303673.8222636,4432997.40251942,53058246.30488,15440793.0421383,102485150.040649,45610842.1853073
24,1215861.85487528,10794131.2815684,4417405.69077665,51708544.374082,14875757.8983758,100260733.973754,39190486.5675728
26,1124833.70682993,10334573.4679467,4410989.03235297,50347606.720131,14477553.3865186,92281799.563525,31464150.6139453
28,1045370.20936613,9938712.31588772,4404220.28481883,48001908.501547,14341134.4639273,89798890.868119,26944445.536424
30,974366.880271204,9519944.38592628,4399313.16823128,46698439.66254,13763672.4514075,84029165.615448,24648098.7417091
32,916472.988697672,9145333.04794818,4391841.81566971,43154901.16335,13357558.615541,79159859.162508,20931598.9412175
34,856718.389002084,8840483.89247008,4384389.91385185,42531472.430632,13034508.5042032,75868715.451325,18190748.4793546
36,806568.082994994,8590853.9440726,4376015.2929915,40731125.767102,12619903.7634968,73892429.641785,15636373.6798518
38,754943.108766058,8323851.30883424,4369746.08033004,40360067.302769,12210953.6327303,73200925.462802,14330866.7025315
40,705390.294803575,8108850.63482051,4363811.10662071,39441712.592062,12056842.4490697,72395437.86923,12501207.0470978
42,670930.704631744,7859248.30059598,4353626.33437722,38642538.403016,11916420.3190033,69377750.311014,11273588.0947834
44,639145.743064122,7614156.30384972,4348446.68633332,37850827.879215,11729626.6770186,69377750.311014,10274516.9104717
46,610956.07789549,7391960.92894413,4343087.65974925,36457527.385029,11497806.0434544,68182329.153639,9415555.33289428
48,584284.722654231,7211205.41235772,4339394.37346084,35670800.325751,11453535.1378376,66489211.4786,8515423.28946784
50,559665.309281047,7047144.86668682,4334811.80749081,34756786.837209,11151798.7481209,65899030.057884,8290708.40784262
52,536007.568282073,6852486.59051434,4331856.94492674,34439625.862974,11025733.321939,64731911.093728,7872950.92453489
54,512950.927547931,6670169.92547913,4328063.76963386,32445908.818323,10886879.2598117,63895619.655554,7454758.5331182
56,491999.399081048,6517020.40472067,4323825.05825435,31273657.749812,10684591.6482214,61622230.495315,7264897.51991876
58,464362.959509999,6394169.37724351,4321898.40929719,30318149.778373,10679412.6691943,60236559.82855,6989943.30860653
60,444978.63184062,6272770.23057278,4318856.10655399,29225926.60733,9782792.79033413,60013826.168953,6612526.74166159
62,426735.316677859,6120978.64778228,4317447.66090926,28359687.875955,9731997.52867813,60013826.168953,6420477.96465552
64,411731.763638643,5983806.3115569,4313403.64669322,28199823.939015,9612985.21168242,60013826.168953,6285660.26341094
66,397895.253811663,5870575.59139985,4310959.69341606,28199823.939015,9499215.79575014,59653657.405119,6192203.18682457
68,384434.733154632,5757503.41130921,4308949.3205715,27906897.92661,9499215.79575014,59491730.032726,5957695.04288313
70,373244.521609427,5648216.07984415,4306521.40579164,27359735.279052,9425962.50657715,55798366.059165,5827148.53793016
72,362313.243175338,5547042.96031544,4303933.28638809,26860561.998243,9375297.30104669,55588080.325627,5649837.64829196
74,352096.244599979,5437848.01517714,4300287.52163578,26274440.908927,9289670.84377174,55401670.940034,5477192.34434761
76,341878.120617192,5345147.02904058,4298578.60810891,25958604.772486,9150548.20105589,55285616.74303,5305371.89947752
78,331132.570571141,5256479.69127889,4293954.0638008,25754368.463321,8902069.96241217,54405997.196722,5186824.072521
80,322373.771501707,5181492.25787746,4292922.36319263,24991530.7112,8902069.96241217,53238319.964309,5093354.27397575
82,313953.169977535,5093990.52538613,4289740.12647661,24644037.464343,8832126.69794125,51509367.411432,4911490.6383035
84,305713.829916512,5000084.25035832,4288502.50515636,24272608.92657,8807632.81817689,51401458.573404,4832945.59882621
86,297482.068783297,4928584.45963584,4287009.96616791,24272608.92657,8807632.81817689,51401458.573404,4752379.34155095
88,288834.377140619,4840242.28662286,4285757.10444911,23580040.714757,8807632.81817689,51401458.573404,4674818.74025551
90,281913.568043029,4749402.62477731,4284452.94763955,23580040.714757,8744792.35316673,51401458.573404,4622688.77392215
92,275617.096201052,4670228.29489159,4283519.13432903,23086315.255217,8726138.69928724,51059110.087162,4500922.0775846
94,268620.649143575,4605363.16803057,4281379.83923918,22104141.997128,8575657.41958735,49983406.804464,4410833.9926196
96,262767.546578895,4537934.07963884,4279963.55308756,21747434.931092,8460668.70110639,49746612.782878,4293827.62271189
98,257356.624551077,4466721.18186521,4278778.28468632,21439670.306817,8460668.70110639,49196367.93339,4224827.91546847
100,252696.594094858,4405295.53739894,4277258.11929142,21271416.660089,8437088.22192187,48867233.031659,4160475.32941576
